representation,representation_label,n_features,fold,length,condition,macro_f1,accuracy,n_test_sources,baseline_macro_f1,retention_ratio
pkm_weight_w075,PKM weight=0.75,297,2,69,substitution_1pct,0.8648268093494791,0.8666666666666667,240,0.8715580235938786,0.9922768030788779
pkm_weight_w075,PKM weight=0.75,297,2,75,N_3pct,0.8560846560846561,0.8583333333333333,240,0.8715580235938786,0.9822463139683829
pkm_weight_w075,PKM weight=0.75,297,2,75,clean,0.8598502946329033,0.8625,240,0.8715580235938786,0.9865668967021859
pkm_weight_w075,PKM weight=0.75,297,2,75,substitution_1pct,0.872737556561086,0.875,240,0.8715580235938786,1.0013533613772994
pkm_weight_w075,PKM weight=0.75,297,2,100,N_3pct,0.8557692307692308,0.8583333333333333,240,0.8715580235938786,0.9818844042539561
pkm_weight_w075,PKM weight=0.75,297,2,100,clean,0.8598502946329033,0.8625,240,0.8715580235938786,0.9865668967021859
pkm_weight_w075,PKM weight=0.75,297,2,100,substitution_1pct,0.8598502946329033,0.8625,240,0.8715580235938786,0.9865668967021859
pkm_weight_w075,PKM weight=0.75,297,3,69,N_3pct,0.8411260539335238,0.8416666666666667,240,0.8715580235938786,0.9650832545435493
pkm_weight_w075,PKM weight=0.75,297,3,69,clean,0.8578496272036792,0.8583333333333333,240,0.8715580235938786,0.984271389833952
pkm_weight_w075,PKM weight=0.75,297,3,69,substitution_1pct,0.8493303571428572,0.85,240,0.8715580235938786,0.9744966303455445
