label,length,status,n_rows,n_pairs,fq_path,sam_path
Candida_tropicalis,150,reused_external,952,476,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L150_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Candida_tropicalis_L150_ART_.sam
Enterobacter_asburiae,50,generated,950,475,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L50_ART_.sam
Enterobacter_asburiae,60,generated,786,393,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L60_ART_.sam
Enterobacter_asburiae,69,reused_external,676,338,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L69_ART_.sam
Enterobacter_asburiae,75,reused_external,624,312,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L75_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L75_ART_.sam
Enterobacter_asburiae,100,reused_external,454,227,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L100_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L100_ART_.sam
Enterobacter_asburiae,125,reused_external,360,180,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L125_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L125_ART_.sam
Enterobacter_asburiae,150,reused_external,290,145,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L150_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_asburiae_L150_ART_.sam
Enterobacter_bugandensis,50,generated,942,471,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_bugandensis_L50_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_bugandensis_L50_ART_.sam
Enterobacter_bugandensis,60,generated,786,393,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_bugandensis_L60_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_bugandensis_L60_ART_.sam
Enterobacter_bugandensis,69,reused_external,682,341,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_bugandensis_L69_ART_.fq,results/stage3/contract_v2/art_current_contract/fastq/Enterobacter_bugandensis_L69_ART_.sam
