family,parameter,k,pattern,canonical,add_property,length,condition,n,observed_vocab_size,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95
canonical k-mer,k=9,9,,True,False,69,substitution_1pct,240,13348,0.948273273490207,0.8207242791832109,0.2201294622320962,0.5987916512724418
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,69,substitution_1pct,240,136,0.977253805033519,0.9224833052066227,0.1462818912787895,0.3937420901802575
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,69,substitution_1pct,240,147,0.9974993799062607,0.9918224836900371,0.04857356575248261,0.12788571779803515
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,69,substitution_1pct,240,136,0.9759169423916322,0.914852993603276,0.15052070070191553,0.4126658084152724
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,69,substitution_1pct,240,147,0.9973564261678244,0.990955145529216,0.049934521808608516,0.13449775210644116
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,69,substitution_1pct,240,136,0.9755321491859903,0.9154703436566957,0.15054587885742643,0.4111676129119019
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,69,substitution_1pct,240,147,0.997308060651654,0.9905269377810649,0.05000536343297719,0.13764488650022674
canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,69,substitution_1pct,240,136,0.9752864773673269,0.9179649091703265,0.15246643532359663,0.4050557759856632
canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,69,substitution_1pct,240,147,0.9972858279261836,0.9910011209734338,0.050588171481111464,0.13415517911573646
canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,69,substitution_1pct,240,136,0.9762499316175239,0.920505717482545,0.14914503927375064,0.39872179533260094
canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,69,substitution_1pct,240,147,0.9973911688239154,0.9910123114685507,0.04949175679618089,0.13407074198407087
k-mer,k=4,4,,False,False,75,reverse_complement,240,256,0.3180330957696109,0.12742413672828756,1.160838708371529,1.3210416815948056
k-mer,k=5,5,,False,False,75,reverse_complement,240,1023,0.13055534086592213,0.010354223433242514,1.3159080296326724,1.406871961600869
k-mer,k=6,6,,False,False,75,reverse_complement,240,3812,0.06241739322161557,0.0,1.3682260990191102,1.4142135623730963
k-mer,k=7,7,,False,False,75,reverse_complement,240,9355,0.030028241858406777,0.0,1.3922575722810497,1.4142135623730958
k-mer,k=8,8,,False,False,75,reverse_complement,240,13525,0.023346234959147408,0.0,1.397055582277146,1.4142135623730958
k-mer,k=9,9,,False,False,75,reverse_complement,240,15165,0.016871116248855005,0.0,1.39464828532818,1.414213562373095
canonical k-mer,k=4,4,,True,False,75,reverse_complement,240,136,1.0000000000000002,0.9999999999999993,0.0,0.0
canonical k-mer,k=5,5,,True,False,75,reverse_complement,240,512,1.0,0.999999999999998,0.0,0.0
canonical k-mer,k=6,6,,True,False,75,reverse_complement,240,2050,1.0000000000000009,0.9999999999999989,0.0,0.0
canonical k-mer,k=7,7,,True,False,75,reverse_complement,240,6352,1.0000000000000004,0.9999999999999981,0.0,0.0
canonical k-mer,k=8,8,,True,False,75,reverse_complement,240,11656,1.0000000000000018,1.0000000000000013,0.0,0.0
canonical k-mer,k=9,9,,True,False,75,reverse_complement,240,14428,0.9999999999999989,0.9999999999999989,0.0,0.0
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,75,reverse_complement,240,136,1.0000000000000002,0.9999999999999993,0.0,0.0
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,75,reverse_complement,240,147,0.998984288056085,0.9966347706241229,0.03622733251855756,0.08203728961910293
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,75,reverse_complement,240,136,0.5103368360063181,0.33579426350582686,0.9799212387990646,1.152567246557364
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,75,reverse_complement,240,147,0.9463403790738554,0.9273206819158689,0.324523458481513,0.38125927654446723
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,75,reverse_complement,240,136,1.0000000000000002,0.9999999999999994,0.0,0.0
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,75,reverse_complement,240,147,0.998984288056085,0.9966347706241229,0.03622733251855756,0.08203728961910293
canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,75,reverse_complement,240,136,1.0000000000000002,0.9999999999999993,0.0,0.0
canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,75,reverse_complement,240,147,0.998984288056085,0.9966347706241229,0.03622733251855756,0.08203728961910293
canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,75,reverse_complement,240,136,1.0000000000000002,0.9999999999999993,0.0,0.0
canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,75,reverse_complement,240,147,0.998984288056085,0.9966347706241228,0.03622733251855756,0.08203728961910295
