probe,genus,length,condition,method,parameter,k,pattern,canonical,add_property,n_samples,n_classes,accuracy,macro_f1,n_features,observed_vocab_size
within_genus_species,Escherichia,69,clean,canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,160,2,0.5416666666666666,0.5384615384615384,136,136
within_genus_species,Escherichia,69,clean,canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,160,2,0.5,0.4920634920634921,147,147
within_genus_species,Escherichia,69,clean,canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,160,2,0.5833333333333334,0.5826086956521739,136,136
within_genus_species,Escherichia,69,clean,canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,160,2,0.5416666666666666,0.5416666666666666,147,147
target_background,Escherichia,69,clean,k-mer,k=4,4,,False,False,160,2,0.4166666666666667,0.4125874125874126,256,256
target_background,Escherichia,69,clean,k-mer,k=5,5,,False,False,160,2,0.4791666666666667,0.47894051237516283,1014,1014
target_background,Escherichia,69,clean,k-mer,k=6,6,,False,False,160,2,0.5833333333333334,0.5767195767195767,3122,3122
target_background,Escherichia,69,clean,k-mer,k=7,7,,False,False,160,2,0.3958333333333333,0.3955709943551889,5402,5402
target_background,Escherichia,69,clean,k-mer,k=8,8,,False,False,160,2,0.4166666666666667,0.4125874125874126,6450,6450
target_background,Escherichia,69,clean,k-mer,k=9,9,,False,False,160,2,0.4375,0.42527716186252773,6683,6683
target_background,Escherichia,69,clean,canonical k-mer,k=4,4,,True,False,160,2,0.5416666666666666,0.5384615384615384,136,136
target_background,Escherichia,69,clean,canonical k-mer,k=5,5,,True,False,160,2,0.5625,0.5607843137254902,509,509
target_background,Escherichia,69,clean,canonical k-mer,k=6,6,,True,False,160,2,0.5,0.49650349650349646,1879,1879
target_background,Escherichia,69,clean,canonical k-mer,k=7,7,,True,False,160,2,0.5416666666666666,0.5416666666666666,4290,4290
target_background,Escherichia,69,clean,canonical k-mer,k=8,8,,True,False,160,2,0.4166666666666667,0.4125874125874126,5968,5968
target_background,Escherichia,69,clean,canonical k-mer,k=9,9,,True,False,160,2,0.4583333333333333,0.4545454545454546,6525,6525
target_background,Escherichia,69,clean,canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,160,2,0.5416666666666666,0.5384615384615384,136,136
target_background,Escherichia,69,clean,canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,160,2,0.5,0.49650349650349646,147,147
target_background,Escherichia,69,clean,canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,160,2,0.4375,0.42527716186252773,136,136
target_background,Escherichia,69,clean,canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,160,2,0.4791666666666667,0.47345326897762174,147,147
target_background,Escherichia,69,clean,canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,160,2,0.4583333333333333,0.45739130434782604,136,136
target_background,Escherichia,69,clean,canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,160,2,0.4583333333333333,0.45739130434782604,147,147
target_background,Escherichia,69,clean,canonical spaced,pattern=0-2-5-7,4,0-2-5-7,True,False,160,2,0.5416666666666666,0.5384615384615384,136,136
target_background,Escherichia,69,clean,canonical spaced + property,pattern=0-2-5-7,4,0-2-5-7,True,True,160,2,0.5,0.4920634920634921,147,147
target_background,Escherichia,69,clean,canonical spaced,pattern=0-3-5-8,4,0-3-5-8,True,False,160,2,0.5833333333333334,0.5826086956521739,136,136
target_background,Escherichia,69,clean,canonical spaced + property,pattern=0-3-5-8,4,0-3-5-8,True,True,160,2,0.5416666666666666,0.5416666666666666,147,147
within_genus_species,Klebsiella,69,clean,k-mer,k=4,4,,False,False,160,3,0.4375,0.43236047107014847,256,256
within_genus_species,Klebsiella,69,clean,k-mer,k=5,5,,False,False,160,3,0.4166666666666667,0.3999646518204312,996,996
within_genus_species,Klebsiella,69,clean,k-mer,k=6,6,,False,False,160,3,0.3958333333333333,0.37498010866352954,2955,2955
within_genus_species,Klebsiella,69,clean,k-mer,k=7,7,,False,False,160,3,0.4791666666666667,0.44420658940478824,5064,5064
within_genus_species,Klebsiella,69,clean,k-mer,k=8,8,,False,False,160,3,0.4166666666666667,0.4142626103680392,6206,6206
within_genus_species,Klebsiella,69,clean,k-mer,k=9,9,,False,False,160,3,0.4166666666666667,0.4006172839506173,6598,6598
