retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features
1.0,0.9885336358997736,0.9848950224550979,0.15033043761815268,0.1738100813314928,0.1759393900150157,1.0,69,trim_5bp,ck4_p,CK4+P,420,147
1.0,0.9879460243564571,0.9842468788848268,0.15420656966940183,0.17749997662755343,0.1779588228098968,1.0,69,trim_5bp,ck4_msp,CK4+MSP,420,211
0.8380952380952381,0.9993380718826889,0.9988387011383887,0.035575567616145005,0.04819333598905241,0.00043339882823599453,0.8380952380952381,69,trim_5bp,p_msp,P+MSP,420,86
1.0,0.9919392440463065,0.9894797615607785,0.126107546228564,0.14505335797200847,0.11901407524839615,1.0,69,trim_5bp,ck4_p_msp,CK4P-MSP,420,222
1.0,0.942202029114751,0.8867058867836591,0.3286283300852086,0.4760122396853993,0.3210998434680911,1.0,69,substitution_1pct_N_3pct,ck4,CK4,420,136
0.04047619047619048,0.997981926271178,0.9975635548977754,0.06344337468817905,0.06980609002281891,-0.0003525781015126522,0.04047619047619048,69,substitution_1pct_N_3pct,p,P,420,11
0.9714285714285714,0.9989423950903675,0.9981472713958339,0.045154380585292316,0.060871932681220736,0.0013438031594467418,0.9714285714285714,69,substitution_1pct_N_3pct,msp,MSP,420,75
1.0,0.9700919776929645,0.9423994264855982,0.23698928364630872,0.33941247732084906,0.16125181131510524,1.0,69,substitution_1pct_N_3pct,ck4_p,CK4+P,420,147
1.0,0.9705722121025593,0.9430147559136164,0.23479386784590858,0.3375945838529812,0.1635259111937247,1.0,69,substitution_1pct_N_3pct,ck4_msp,CK4+MSP,420,211
0.9119047619047619,0.9984621606807725,0.9980090914645663,0.05528979714856815,0.06310163607446774,0.0006876052681839326,0.9119047619047619,69,substitution_1pct_N_3pct,p_msp,P+MSP,420,86
1.0,0.9797087834920989,0.9613765979690965,0.1954248355810558,0.27793265984012633,0.1094712272816379,1.0,69,substitution_1pct_N_3pct,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9204440717941139,0.8915044989056907,0.39594552064931693,0.46582291965977984,0.29963952381844283,1.0,69,local_mismatch_6bp,ck4,CK4,420,136
0.1,0.9998627124641355,0.9995606243442501,0.014716057173392949,0.029643729181496555,-0.00011139166443253317,0.1,69,local_mismatch_6bp,p,P,420,11
0.8523809523809524,0.9991244008660881,0.9975927842786763,0.038196648023343126,0.06938609664416313,0.0009242448515099855,0.8523809523809524,69,local_mismatch_6bp,msp,MSP,420,75
1.0,0.9601533921291248,0.9456992528261757,0.28022491376254055,0.32954738150019264,0.1503408409599783,1.0,69,local_mismatch_6bp,ck4_p,CK4+P,420,147
1.0,0.9597842363301009,0.9454236111205361,0.281545677006823,0.3303826000546104,0.15246641542949835,1.0,69,local_mismatch_6bp,ck4_msp,CK4+MSP,420,211
0.8404761904761905,0.999493556665112,0.9985859375969443,0.029038652398159698,0.053179465954546895,0.0005161667942709156,0.8404761904761905,69,local_mismatch_6bp,p_msp,P+MSP,420,86
1.0,0.9731437283747794,0.9635839615202926,0.23008235993175505,0.26987405071660103,0.10197008120400194,1.0,69,local_mismatch_6bp,ck4_p_msp,CK4P-MSP,420,222
1.0,0.9834779203053683,0.939856515409329,0.12080413547629898,0.34682411790677786,0.353598879035723,1.0,69,short_indel,ck4,CK4,420,136
