split,classifier,accuracy,macro_f1,length,local_mode,representation,representation_label,n_triplets,n_features,accuracy_std,macro_f1_std
holdout,logistic,0.9916666666666667,0.9916660879227724,52,jittered,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.9694444444444444,0.9693805232722497,52,jittered,ck4_p_msp,CK4P-MSP,180,222,0.020412414523193156,0.020469900909452436
holdout,logistic,0.9333333333333333,0.9330357142857143,52,left,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9388888888888889,0.9386275739158062,52,left,ck4,CK4,180,136,0.02256677334621099,0.022842281535129086
holdout,logistic,0.5833333333333334,0.5832175604334537,52,left,p,P,180,11,,
5fold_grouped_cv,logistic,0.6527777777777778,0.646518491149014,52,left,p,P,180,11,0.03513641844631531,0.0319278766499485
holdout,logistic,0.9833333333333333,0.9833287024173382,52,left,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,52,left,msp,MSP,180,75,0.010393492741038736,0.010402379395098641
holdout,logistic,0.9333333333333333,0.9331662489557226,52,left,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9472222222222223,0.9470029008946274,52,left,ck4_p,CK4+P,180,147,0.032155102507750666,0.032429409509219825
holdout,logistic,1.0,1.0,52,left,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,52,left,ck4_msp,CK4+MSP,180,211,0.010393492741038736,0.010402379395098641
holdout,logistic,0.9916666666666667,0.9916660879227724,52,left,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9833333333333334,0.9833236814444609,52,left,p_msp,P+MSP,180,86,0.010393492741038736,0.010402379395098641
holdout,logistic,1.0,1.0,52,left,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.9888888888888889,0.9888835270043064,52,left,ck4_p_msp,CK4P-MSP,180,222,0.010393492741038724,0.010400659235583804
holdout,logistic,0.9333333333333333,0.9333148096693527,52,right,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9361111111111111,0.9359567831065666,52,right,ck4,CK4,180,136,0.02576005137637696,0.025856054739719175
holdout,logistic,0.5416666666666666,0.5408695652173914,52,right,p,P,180,11,,
5fold_grouped_cv,logistic,0.5722222222222222,0.5698289785220066,52,right,p,P,180,11,0.06419011115717413,0.06381335456164451
holdout,logistic,0.9833333333333333,0.9833287024173382,52,right,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.9888888888888889,0.9888835270043064,52,right,msp,MSP,180,75,0.010393492741038726,0.010400659235583804
holdout,logistic,0.95,0.9499861072520144,52,right,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9444444444444443,0.9442473142068828,52,right,ck4_p,CK4+P,180,147,0.02913357911583757,0.029300860575334958
holdout,logistic,0.975,0.9749843652282677,52,right,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9805555555555557,0.9805453677265369,52,right,ck4_msp,CK4+MSP,180,211,0.006804138174397747,0.006813333716011713
holdout,logistic,0.9916666666666667,0.9916660879227724,52,right,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9916666666666668,0.9916618407222305,52,right,p_msp,P+MSP,180,86,0.01111111111111111,0.011118887025293532
holdout,logistic,0.975,0.9749843652282677,52,right,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.986111111111111,0.9861052132863826,52,right,ck4_p_msp,CK4P-MSP,180,222,0.008784104611578835,0.008790888587498949
holdout,logistic,0.9333333333333333,0.9333333333333333,53,center,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9388888888888889,0.9386415731153802,53,center,ck4,CK4,180,136,0.02078698548207746,0.0211072128034103
holdout,logistic,0.65,0.65,53,center,p,P,180,11,,
5fold_grouped_cv,logistic,0.6444444444444445,0.6427575460216992,53,center,p,P,180,11,0.02991758226185836,0.03032396305893954
holdout,logistic,0.975,0.9749843652282677,53,center,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.975,0.9749661885483174,53,center,msp,MSP,180,75,0.016197088596792496,0.016227286797398356
holdout,logistic,0.95,0.949944382647386,53,center,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9388888888888889,0.9385939510939512,53,center,ck4_p,CK4+P,180,147,0.03239417719358502,0.03281451700264459
holdout,logistic,0.975,0.9749843652282677,53,center,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9805555555555557,0.9805357009173499,53,center,ck4_msp,CK4+MSP,180,211,0.01416394309331329,0.014188789501230384
holdout,logistic,0.9833333333333333,0.9833287024173382,53,center,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9833333333333334,0.9833172327592715,53,center,p_msp,P+MSP,180,86,0.013608276348795427,0.013634576847489801
holdout,logistic,0.9916666666666667,0.9916660879227724,53,center,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.9805555555555557,0.9805357009173499,53,center,ck4_p_msp,CK4P-MSP,180,222,0.01416394309331329,0.014188789501230384
holdout,logistic,0.9166666666666666,0.9166435120866907,53,jittered,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9361111111111111,0.9359395106625751,53,jittered,ck4,CK4,180,136,0.036851386559504457,0.03705796959881119
holdout,logistic,0.5833333333333334,0.5833333333333334,53,jittered,p,P,180,11,,
5fold_grouped_cv,logistic,0.6472222222222223,0.6449205437008585,53,jittered,p,P,180,11,0.05665577237325316,0.056946447358282304
holdout,logistic,0.875,0.8745732004738346,53,jittered,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.9083333333333334,0.9078463715263265,53,jittered,msp,MSP,180,75,0.05457467417885695,0.055148250327265495
holdout,logistic,0.95,0.949944382647386,53,jittered,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9500000000000002,0.9498512611725204,53,jittered,ck4_p,CK4+P,180,147,0.022566773346211034,0.02273735396688131
holdout,logistic,0.9416666666666667,0.9416301855326246,53,jittered,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.9666666666666666,0.9666602329017918,53,jittered,ck4_msp,CK4+MSP,180,211,0.0285989726138528,0.028598244486909112
holdout,logistic,0.8916666666666667,0.89129677374399,53,jittered,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9111111111111111,0.9108428117123768,53,jittered,p_msp,P+MSP,180,86,0.0435677420593281,0.043788583599816785
holdout,logistic,0.95,0.9499861072520144,53,jittered,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.9583333333333334,0.9583199273803171,53,jittered,ck4_p_msp,CK4P-MSP,180,222,0.03928371006591933,0.03928485141497268
holdout,logistic,0.9583333333333334,0.9583072753804461,53,left,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.9444444444444443,0.9443369552657479,53,left,ck4,CK4,180,136,0.024845199749997673,0.02495584235772847
holdout,logistic,0.7416666666666667,0.7402053216006704,53,left,p,P,180,11,,
5fold_grouped_cv,logistic,0.6805555555555556,0.6798198024797039,53,left,p,P,180,11,0.019641855032959663,0.018966936444253474
holdout,logistic,0.9916666666666667,0.9916660879227724,53,left,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.9833333333333334,0.9832978617282387,53,left,msp,MSP,180,75,0.020412414523193163,0.02047781500234627
holdout,logistic,0.9583333333333334,0.9583072753804461,53,left,ck4_p,CK4+P,180,147,,
5fold_grouped_cv,logistic,0.9333333333333332,0.9330724476281276,53,left,ck4_p,CK4+P,180,147,0.03447131568330794,0.03474605083026426
holdout,logistic,1.0,1.0,53,left,ck4_msp,CK4+MSP,180,211,,
5fold_grouped_cv,logistic,0.986111111111111,0.9861019951623848,53,left,ck4_msp,CK4+MSP,180,211,0.012422599874998838,0.012432193032727346
holdout,logistic,1.0,1.0,53,left,p_msp,P+MSP,180,86,,
5fold_grouped_cv,logistic,0.9777777777777779,0.9777380161683931,53,left,p_msp,P+MSP,180,86,0.018839805508681317,0.01890147664197955
holdout,logistic,0.9916666666666667,0.9916660879227724,53,left,ck4_p_msp,CK4P-MSP,180,222,,
5fold_grouped_cv,logistic,0.986111111111111,0.9861019951623848,53,left,ck4_p_msp,CK4P-MSP,180,222,0.012422599874998838,0.012432193032727346
holdout,logistic,0.9583333333333334,0.9582608695652174,53,right,ck4,CK4,180,136,,
5fold_grouped_cv,logistic,0.961111111111111,0.9610692605644328,53,right,ck4,CK4,180,136,0.02693155476342406,0.02696909087620989
holdout,logistic,0.6,0.5907928388746804,53,right,p,P,180,11,,
5fold_grouped_cv,logistic,0.6166666666666666,0.6149359350967408,53,right,p,P,180,11,0.035789163129791995,0.035682326058238976
holdout,logistic,0.975,0.9749843652282677,53,right,msp,MSP,180,75,,
5fold_grouped_cv,logistic,0.986111111111111,0.9861052132863826,53,right,msp,MSP,180,75,0.008784104611578835,0.008790888587498947
holdout,logistic,0.9416666666666667,0.9414674935544561,53,right,ck4_p,CK4+P,180,147,,
