length,local_mode,binset,bins,max_bin_count,gamma,n_triplets,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,selective_sensitivity_ratio_mean,k_dim,p_dim,m_dim,total_dim,split,classifier,accuracy,macro_f1,accuracy_std,macro_f1_std
53,jittered,2_3,2+3,3,1.0,180,0.35911145610416767,0.26139044383408205,-0.09772101227008562,0.7358078440606616,136,11,25,172,5fold_grouped_cv,logistic,0.95,0.9499247667855208,0.033564016593318285,0.03368551578956334
53,jittered,2_3_4,2+3+4,4,1.0,180,0.3592331434222151,0.26166505165954695,-0.0975680917626682,0.7363221449567227,136,11,45,192,holdout,logistic,0.9166666666666666,0.9165739710789766,,
53,jittered,2_3_4,2+3+4,4,1.0,180,0.3592331434222151,0.26166505165954695,-0.0975680917626682,0.7363221449567227,136,11,45,192,5fold_grouped_cv,logistic,0.9583333333333334,0.9583156398591474,0.03167153958608718,0.031679064068533234
53,jittered,2_3_4_6,2+3+4+6,6,1.0,180,0.3594535181767701,0.26208722929832223,-0.09736628887844784,0.737044471332738,136,11,75,222,holdout,logistic,0.95,0.9499861072520144,,
53,jittered,2_3_4_6,2+3+4+6,6,1.0,180,0.3594535181767701,0.26208722929832223,-0.09736628887844784,0.737044471332738,136,11,75,222,5fold_grouped_cv,logistic,0.9583333333333334,0.9583199273803171,0.03928371006591933,0.03928485141497268
53,left,2,2,2,1.0,180,0.36448496523623575,0.2601750942175884,-0.10430987101864737,0.7228519523519098,136,11,10,157,holdout,logistic,0.9916666666666667,0.9916660879227724,,
53,left,2,2,2,1.0,180,0.36448496523623575,0.2601750942175884,-0.10430987101864737,0.7228519523519098,136,11,10,157,5fold_grouped_cv,logistic,0.9638888888888889,0.9638432294547756,0.01883980550868133,0.01888343578457698
53,left,2_3,2+3,3,1.0,180,0.3646051982655545,0.26046199289837463,-0.10414320536717984,0.7234026088395413,136,11,25,172,holdout,logistic,0.9833333333333333,0.9833287024173382,,
53,left,2_3,2+3,3,1.0,180,0.3646051982655545,0.26046199289837463,-0.10414320536717984,0.7234026088395413,136,11,25,172,5fold_grouped_cv,logistic,0.9777777777777779,0.9777541690754283,0.01416394309331329,0.014186894319585907
53,left,2_3_4,2+3+4,4,1.0,180,0.3647287312757072,0.26075132185371563,-0.10397740942199157,0.7239566481882649,136,11,45,192,holdout,logistic,0.9916666666666667,0.9916660879227724,,
53,left,2_3_4,2+3+4,4,1.0,180,0.3647287312757072,0.26075132185371563,-0.10397740942199157,0.7239566481882649,136,11,45,192,5fold_grouped_cv,logistic,0.975,0.9749597024504691,0.01619708859679253,0.016261622845614346
