retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,binset,bins,max_bin_count,gamma,n_pairs,k_dim,p_dim,m_dim,total_dim
1.0,0.9945355719104907,0.9775220299364862,0.06911324632604605,0.21202807516647915,0.12163499567132313,1.0,65,short_indel,2,2,2,1.0,420,136,11,10,157
1.0,0.994530326005695,0.9775204549311824,0.06915243251415944,0.21203550138899668,0.12189920045850562,1.0,65,short_indel,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9945227918185311,0.9775171464688807,0.06921281355297382,0.21205107809101767,0.12222654716646489,1.0,65,short_indel,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9945034894362759,0.9775136310664084,0.06935866538585791,0.21206766318746822,0.12281011827129801,1.0,65,short_indel,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9915928660713527,0.969469618808693,0.08758700801642241,0.24710475066890497,0.11847972914832493,1.0,66,substitution_1pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9915882163089715,0.9694561373558079,0.0876153214410451,0.24715930546093026,0.11876135462425598,1.0,66,substitution_1pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9915833299387327,0.9694402633921895,0.0876438240015362,0.24722352001560688,0.11906597302353043,1.0,66,substitution_1pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9915745240784335,0.969410978668266,0.08769511969966766,0.247341948769651,0.1196312868030456,1.0,66,substitution_1pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9868309973860262,0.9819602560328697,0.16091249404445152,0.18994578556655511,0.1177466129993453,1.0,66,N_3pct,2,2,2,1.0,420,136,11,10,157
1.0,0.986770245077528,0.9819212085256204,0.16130403085353315,0.19015114021652496,0.1180429009994252,1.0,66,N_3pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9867135221852278,0.9818519419394307,0.16166465598410878,0.19051503752892218,0.11834950641441822,1.0,66,N_3pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9866004745653716,0.9817322261152523,0.1623800516929166,0.19114257384204003,0.11891613450486382,1.0,66,N_3pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9919075781804507,0.9896955733279169,0.12648544783403526,0.1435578395496006,0.12045894366157474,1.0,66,trim_5bp,2,2,2,1.0,420,136,11,10,157
1.0,0.9918339592412593,0.9895957894181002,0.12706976480532667,0.1442512337049939,0.1206758224007227,1.0,66,trim_5bp,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9917447808722926,0.9894917440618396,0.12777723556213155,0.14497072628584867,0.12092403879195117,1.0,66,trim_5bp,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9914957815005562,0.9891343391468959,0.12971896374563502,0.1474154726049938,0.12125590220782487,1.0,66,trim_5bp,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9786183666890133,0.9581319511666234,0.200653471109252,0.2893718906956971,0.10876017094385639,1.0,66,substitution_1pct_N_3pct,2,2,2,1.0,420,136,11,10,157
1.0,0.978560530601572,0.9580729179364934,0.2009624707840388,0.28957572396201764,0.10902243842596934,1.0,66,substitution_1pct_N_3pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9784945449618545,0.9580276063447212,0.20130296800630476,0.2897321788586677,0.10932186556100583,1.0,66,substitution_1pct_N_3pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9783763801123675,0.9579284270008899,0.20192458737630187,0.2900741700546139,0.10985888218691398,1.0,66,substitution_1pct_N_3pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.971469923593188,0.961117282474452,0.23717815524078098,0.2788645199054587,0.10121184136166336,1.0,66,local_mismatch_6bp,2,2,2,1.0,420,136,11,10,157
1.0,0.9714296782863575,0.9610342073879152,0.2373468229962521,0.27916227036083047,0.10149986611698068,1.0,66,local_mismatch_6bp,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9713840920776214,0.9609584920995334,0.23753962973864007,0.27943337041230887,0.10175752288410989,1.0,66,local_mismatch_6bp,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9713069007618703,0.9607907285861298,0.23786371538891932,0.28003310653527663,0.10225714837537496,1.0,66,local_mismatch_6bp,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9940151266230827,0.9783758135890124,0.07290606359021347,0.2079624180527885,0.1203038899641292,1.0,66,short_indel,2,2,2,1.0,420,136,11,10,157
1.0,0.9940075135619005,0.9783009881278825,0.07295927676282091,0.20832192303401445,0.12060174275128474,1.0,66,short_indel,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9940014526584225,0.9783171246714975,0.07299935417911421,0.20824443610680027,0.12090694437514544,1.0,66,short_indel,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.993978252579835,0.9782528707225008,0.07317346920085707,0.2085527716040113,0.12144626885417995,1.0,66,short_indel,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9916759222424906,0.9719180964256956,0.0898480483026357,0.23698882640416036,0.11785271529937939,1.0,67,substitution_1pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9916704445410931,0.9719059250887496,0.08987775341477297,0.2370401504977952,0.11813139396852915,1.0,67,substitution_1pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9916658869153869,0.9718956191445515,0.0899038522476592,0.2370836045853378,0.11844258568714232,1.0,67,substitution_1pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9916569069811919,0.9718744368712867,0.08995373368826981,0.2371728809210786,0.11902034827521647,1.0,67,substitution_1pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9869487781056401,0.9816954164720788,0.16029603568882803,0.19133459031699626,0.11719651394144236,1.0,67,N_3pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9868966941780855,0.9815637055996674,0.16062968007115386,0.19202191235914523,0.11748195918946307,1.0,67,N_3pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9868337985258533,0.9814008698667888,0.16102776771369282,0.19286823727166427,0.11778064803565612,1.0,67,N_3pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9867298579568639,0.9814175628206724,0.16168440708695175,0.1927813205554076,0.11833100184766505,1.0,67,N_3pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9921104878582258,0.9898409508039249,0.124896560337729,0.1425415618059847,0.1198056942377709,1.0,67,trim_5bp,2,2,2,1.0,420,136,11,10,157
1.0,0.9920448961695006,0.9897431428562472,0.12542000208381265,0.1432260948240291,0.12002485733751149,1.0,67,trim_5bp,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9919646368779798,0.9897108145406484,0.12606806215573466,0.14345160175071942,0.12028329375040045,1.0,67,trim_5bp,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9917681391784113,0.9894197157318873,0.12761490923175764,0.14546672339021235,0.1206943937318851,1.0,67,trim_5bp,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9797503292276126,0.9596875568532408,0.19490840116062905,0.2839451925256524,0.10924016601300525,1.0,67,substitution_1pct_N_3pct,2,2,2,1.0,420,136,11,10,157
1.0,0.9796860139279878,0.9596212673431155,0.19525160858668925,0.2841785595064259,0.10950743268986961,1.0,67,substitution_1pct_N_3pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.979623620128144,0.9594977088362651,0.19558762321773362,0.2846130359420836,0.10981684023734693,1.0,67,substitution_1pct_N_3pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9795073293935826,0.9593500288256186,0.19620268047812459,0.2851314472487636,0.1103881189576842,1.0,67,substitution_1pct_N_3pct,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9717070462516585,0.9600987386438976,0.23612530403612508,0.2824931131743663,0.1002813162421326,1.0,67,local_mismatch_6bp,2,2,2,1.0,420,136,11,10,157
1.0,0.9716596725240333,0.9600074254855894,0.2363255600498042,0.28281618635580635,0.10052346291732273,1.0,67,local_mismatch_6bp,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9716129293599557,0.9599285404393355,0.2365239185852559,0.28309501073775656,0.10081745744609699,1.0,67,local_mismatch_6bp,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9715300844527538,0.9597641577308237,0.2368737409804998,0.28367517470280806,0.1013205593389608,1.0,67,local_mismatch_6bp,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9946026721459156,0.9787732298312003,0.06943462832026283,0.20604227379275544,0.12020022997586696,1.0,67,short_indel,2,2,2,1.0,420,136,11,10,157
1.0,0.9945980239467832,0.9787650470804341,0.06946969461873874,0.20608201076646795,0.12047899996036865,1.0,67,short_indel,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9945907916696853,0.978756025921971,0.0695272753489752,0.20612574471152548,0.12078119264144217,1.0,67,short_indel,2_3_4,2+3+4,4,1.0,420,136,11,45,192
1.0,0.9945762883638105,0.9787368501357964,0.0696392080891282,0.20621866925936622,0.12133389208970269,1.0,67,short_indel,2_3_4_6,2+3+4+6,6,1.0,420,136,11,75,222
1.0,0.9921065121084268,0.9713772131635214,0.08442154749234454,0.23926045453889772,0.11782173054092489,1.0,68,substitution_1pct,2,2,2,1.0,420,136,11,10,157
1.0,0.992102026519847,0.9713358593209656,0.08444761038128427,0.23943323434277777,0.11811596287505279,1.0,68,substitution_1pct,2_3,2+3,3,1.0,420,136,11,25,172
1.0,0.9920979554179296,0.971314981801883,0.0844722828018392,0.2395204243599283,0.1184180379667241,1.0,68,substitution_1pct,2_3_4,2+3+4,4,1.0,420,136,11,45,192
