length,representation,representation_label,n_cells,l2_delta_mean,paired_cosine_mean,retrieval_top1_mean,n_features
66,ck4,CK4,6,0.2522249025671716,0.9582307160473523,1.0,136
66,ck4_msp,CK4+MSP,6,0.18040593603282687,0.9787159958039862,1.0,211
66,ck4_p,CK4+P,6,0.18020837454446628,0.9787324406192984,1.0,147
66,ck4_p_msp,CK4P-MSP,6,0.14879265118404958,0.985555385599739,1.0,222
66,msp,MSP,6,0.033825880372724736,0.9992012755606202,0.915079365079365,75
66,p,P,6,0.02738552247049247,0.9992341651912446,0.29444444444444445,11
66,p_msp,P+MSP,6,0.03270109674956802,0.9992177203759325,0.9075396825396825,86
67,ck4,CK4,6,0.24938396747259653,0.9593702595980558,1.0,136
67,ck4_msp,CK4+MSP,6,0.17822888778539325,0.9793138962446496,1.0,211
67,ck4_p,CK4+P,6,0.17816999447598006,0.9793133851360317,1.0,147
67,ck4_p_msp,CK4P-MSP,6,0.14699477992578863,0.985961434387769,1.0,222
67,msp,MSP,6,0.03270591277615298,0.9992575328912435,0.9376984126984128,75
67,p,P,6,0.027160192789618464,0.9992565106740074,0.29365079365079366,11
67,p_msp,P+MSP,6,0.03184893713923773,0.9992570217826254,0.9249999999999999,86
68,ck4,CK4,6,0.2451953484135171,0.9602692097707041,1.0,136
68,ck4_msp,CK4+MSP,6,0.17527375535359901,0.9797681899284477,1.0,211
68,ck4_p,CK4+P,6,0.17517672340746368,0.9797724556743717,1.0,147
68,ck4_p_msp,CK4P-MSP,6,0.14455498558940238,0.9862706938116449,1.0,222
68,msp,MSP,6,0.03232427654549907,0.9992671700861914,0.9313492063492063,75
68,p,P,6,0.02662340127989485,0.9992757015780392,0.30674603174603177,11
68,p_msp,P+MSP,6,0.03141165688621091,0.9992714358321154,0.9202380952380952,86
69,ck4,CK4,6,0.24363516662727416,0.9610967601393877,1.0,136
69,ck4_msp,CK4+MSP,6,0.17417466886464408,0.9801839163658866,1.0,211
69,ck4_p,CK4+P,6,0.1740392202614118,0.9801944905876151,1.0,147
69,ck4_p_msp,CK4P-MSP,6,0.14363008477694125,0.9865533512558721,1.0,222
69,msp,MSP,6,0.03231583452576418,0.9992710725923857,0.9297619047619047,75
69,p,P,6,0.026431159936615576,0.9992922210358426,0.30793650793650795,11
69,p_msp,P+MSP,6,0.031306088708007926,0.9992816468141141,0.9178571428571428,86
70,ck4,CK4,6,0.24600489572538797,0.9607692056403124,1.0,136
70,ck4_msp,CK4+MSP,6,0.17578436369883257,0.9800360903920199,1.0,211
70,ck4_p,CK4+P,6,0.1756824759618525,0.9800391593056785,1.0,147
70,ck4_p_msp,CK4P-MSP,6,0.14491833530863768,0.9864604312516948,1.0,222
70,msp,MSP,6,0.03184310040315188,0.9993029751437272,0.9392857142857144,75
70,p,P,6,0.026101182768912923,0.9993091129710446,0.3011904761904762,11
70,p_msp,P+MSP,6,0.030870778979485147,0.9993060440573859,0.9301587301587301,86
71,ck4,CK4,6,0.24236679938577832,0.9623083500699297,1.0,136
71,ck4_msp,CK4+MSP,6,0.17307765539909123,0.9808357657554256,1.0,211
71,ck4_p,CK4+P,6,0.17310668658762987,0.9808184612803407,1.0,147
71,ck4_p_msp,CK4P-MSP,6,0.14270557110426796,0.9870000346672009,1.0,222
71,msp,MSP,6,0.030348623697867106,0.9993631814409215,0.9531746031746032,75
71,p,P,6,0.02568733086020177,0.9993285724907515,0.30119047619047623,11
71,p_msp,P+MSP,6,0.02977786822679999,0.9993458769658364,0.9396825396825396,86
72,ck4,CK4,6,0.24237765352839777,0.9623175676669371,1.0,136
72,ck4_msp,CK4+MSP,6,0.1732898147078413,0.9808080358586254,1.0,211
72,ck4_p,CK4+P,6,0.1730759231458601,0.980831200816071,1.0,147
72,ck4_p_msp,CK4P-MSP,6,0.14284764229894817,0.9869869685608186,1.0,222
72,msp,MSP,6,0.03178725865576033,0.9992985040503135,0.9234126984126984,75
72,p,P,6,0.025553393274106505,0.999344833965205,0.2888888888888889,11
72,p_msp,P+MSP,6,0.030635270255110394,0.9993216690077592,0.9126984126984127,86
73,ck4,CK4,6,0.23774682489160148,0.9631141357210913,1.0,136
73,ck4_msp,CK4+MSP,6,0.1698170148709354,0.9812439199400026,1.0,211
73,ck4_p,CK4+P,6,0.16978977836449216,0.9812370238425915,1.0,147
73,ck4_p_msp,CK4P-MSP,6,0.14000331346302253,0.9872825839480323,1.0,222
73,msp,MSP,6,0.03011815323150241,0.9993737041589141,0.9448412698412699,75
73,p,P,6,0.025139411525950395,0.9993599119640916,0.30873015873015874,11
73,p_msp,P+MSP,6,0.029411969256728315,0.9993668080615029,0.9317460317460317,86
74,ck4,CK4,6,0.23340956671177174,0.9645670500003027,1.0,136
74,ck4_msp,CK4+MSP,6,0.1667283402093879,0.9819775875064783,1.0,211
74,ck4_p,CK4+P,6,0.16668410102744743,0.9819723984275185,1.0,147
74,ck4_p_msp,CK4P-MSP,6,0.13745163538038863,0.9877776406225637,1.0,222
74,msp,MSP,6,0.029685798154920267,0.9993881250126538,0.953968253968254,75
74,p,P,6,0.024781443446355828,0.9993777468547345,0.3170634920634921,11
74,p_msp,P+MSP,6,0.028995525136855844,0.9993829359336942,0.9448412698412699,86
75,ck4,CK4,6,0.2353800835998452,0.9642538701011188,1.0,136
75,ck4_msp,CK4+MSP,6,0.16813113402119215,0.9818212807114192,1.0,211
75,ck4_p,CK4+P,6,0.16804853096455638,0.9818226719887017,1.0,147
75,ck4_p_msp,CK4P-MSP,6,0.13857418805581492,0.9876780117663744,1.0,222
75,msp,MSP,6,0.029798309553145927,0.9993886913217196,0.9507936507936509,75
75,p,P,6,0.024614643969838663,0.9993914738762845,0.30952380952380953,11
75,p_msp,P+MSP,6,0.02897008418056222,0.999390082599002,0.9452380952380953,86
