representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
hybrid_ckmer5_csp,logistic,2252,30,659,0.23520710059171598,0.21998861249249882,label_probe,75,N_3pct,label
hybrid_ckmer5_csp,mlp,2252,30,659,0.23964497041420119,0.22865065834176093,label_probe,75,N_3pct,label
minhash_k5_s128,nearest_centroid,2252,30,128,0.15680473372781065,0.14908267014824025,label_probe,75,N_3pct,label
minhash_k5_s128,logistic,2252,30,128,0.11390532544378698,0.106853628185955,label_probe,75,N_3pct,label
minhash_k5_s128,mlp,2252,30,128,0.10502958579881656,0.09625894489831506,label_probe,75,N_3pct,label
eiip_l2,nearest_centroid,2252,30,75,0.047337278106508875,0.04609658694606186,label_probe,75,N_3pct,label
eiip_l2,logistic,2252,30,75,0.06656804733727811,0.0655465316124416,label_probe,75,N_3pct,label
eiip_l2,mlp,2252,30,75,0.03994082840236687,0.03854126818246551,label_probe,75,N_3pct,label
eiip_summary_l2,nearest_centroid,2252,30,8,0.08727810650887574,0.06736235111819089,label_probe,75,N_3pct,label
eiip_summary_l2,logistic,2252,30,8,0.11834319526627218,0.09025386966318548,label_probe,75,N_3pct,label
eiip_summary_l2,mlp,2252,30,8,0.060650887573964495,0.025901639826203467,label_probe,75,N_3pct,label
ckmer5_count_l2,nearest_centroid,160,2,511,0.75,0.7386569872958257,target_background,75,N_3pct,target_binary
ckmer5_count_l2,logistic,160,2,511,0.75,0.7482517482517483,target_background,75,N_3pct,target_binary
ckmer5_count_l2,mlp,160,2,511,0.7083333333333334,0.6888888888888889,target_background,75,N_3pct,target_binary
ckmer7_count_l2,nearest_centroid,160,2,5002,0.7291666666666666,0.7141548327989007,target_background,75,N_3pct,target_binary
ckmer7_count_l2,logistic,160,2,5002,0.7291666666666666,0.7141548327989007,target_background,75,N_3pct,target_binary
ckmer7_count_l2,mlp,160,2,5002,0.6458333333333334,0.6444444444444444,target_background,75,N_3pct,target_binary
cspaced_count_l2,nearest_centroid,160,2,136,0.75,0.7428571428571429,target_background,75,N_3pct,target_binary
cspaced_count_l2,logistic,160,2,136,0.75,0.7482517482517483,target_background,75,N_3pct,target_binary
cspaced_count_l2,mlp,160,2,136,0.6875,0.6807095343680709,target_background,75,N_3pct,target_binary
cspaced_property_l2,nearest_centroid,160,2,147,0.7291666666666666,0.7232815964523283,target_background,75,N_3pct,target_binary
cspaced_property_l2,logistic,160,2,147,0.75,0.7482517482517483,target_background,75,N_3pct,target_binary
cspaced_property_l2,mlp,160,2,147,0.6666666666666666,0.6666666666666666,target_background,75,N_3pct,target_binary
hybrid_ckmer5_csp,nearest_centroid,160,2,658,0.7291666666666666,0.7192982456140351,target_background,75,N_3pct,target_binary
hybrid_ckmer5_csp,logistic,160,2,658,0.7708333333333334,0.7699346405228757,target_background,75,N_3pct,target_binary
hybrid_ckmer5_csp,mlp,160,2,658,0.7708333333333334,0.7658536585365854,target_background,75,N_3pct,target_binary
minhash_k5_s128,nearest_centroid,160,2,128,0.7708333333333334,0.7699346405228757,target_background,75,N_3pct,target_binary
minhash_k5_s128,logistic,160,2,128,0.6458333333333334,0.6381374722838138,target_background,75,N_3pct,target_binary
minhash_k5_s128,mlp,160,2,128,0.6875,0.6627634660421545,target_background,75,N_3pct,target_binary
eiip_l2,nearest_centroid,160,2,75,0.5,0.49650349650349646,target_background,75,N_3pct,target_binary
eiip_l2,logistic,160,2,75,0.4791666666666667,0.47894051237516283,target_background,75,N_3pct,target_binary
eiip_l2,mlp,160,2,75,0.5625,0.48121461657231085,target_background,75,N_3pct,target_binary
eiip_summary_l2,nearest_centroid,160,2,8,0.75,0.7495652173913043,target_background,75,N_3pct,target_binary
eiip_summary_l2,logistic,160,2,8,0.7708333333333334,0.7699346405228757,target_background,75,N_3pct,target_binary
eiip_summary_l2,mlp,160,2,8,0.6666666666666666,0.6660869565217391,target_background,75,N_3pct,target_binary
ckmer5_count_l2,nearest_centroid,2252,30,512,0.29142011834319526,0.2717091415126391,label_probe,75,substitution_1pct,label
ckmer5_count_l2,logistic,2252,30,512,0.22633136094674555,0.21269095610661004,label_probe,75,substitution_1pct,label
ckmer5_count_l2,mlp,2252,30,512,0.20857988165680474,0.188156946213395,label_probe,75,substitution_1pct,label
ckmer7_count_l2,nearest_centroid,2252,30,8187,0.22189349112426035,0.21049873082458298,label_probe,75,substitution_1pct,label
ckmer7_count_l2,logistic,2252,30,8187,0.20118343195266272,0.1796020344840752,label_probe,75,substitution_1pct,label
ckmer7_count_l2,mlp,2252,30,8187,0.13313609467455623,0.11861785616764069,label_probe,75,substitution_1pct,label
cspaced_count_l2,nearest_centroid,2252,30,136,0.17455621301775148,0.1554508872234886,label_probe,75,substitution_1pct,label
cspaced_count_l2,logistic,2252,30,136,0.11686390532544379,0.11054434406697185,label_probe,75,substitution_1pct,label
cspaced_count_l2,mlp,2252,30,136,0.15384615384615385,0.13981679397067454,label_probe,75,substitution_1pct,label
cspaced_property_l2,nearest_centroid,2252,30,147,0.1760355029585799,0.1581676412239911,label_probe,75,substitution_1pct,label
cspaced_property_l2,logistic,2252,30,147,0.11686390532544379,0.11056896969755682,label_probe,75,substitution_1pct,label
