length,condition,representation,n_pairs,n_features,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,trim_5bp,MSP_declared,250,75,0.884,0.9989678193438302,0.9980303439229103,0.04424638844850556,0.06276391207367371,0.0008452565578478799,0.884
75,trim_5bp,MSP_train_zscore,250,75,0.876,0.8686803979989752,0.7026531201273656,0.4887799086692468,0.7711638409621169,0.09958125414001094,0.876
75,trim_5bp,MSP_unit_range,250,75,0.944,0.9934612966841935,0.9880960717315319,0.11142813847991408,0.15429569922786637,0.006682790377675402,0.944
75,trim_5bp,CK4+P_declared,250,147,1.0,0.9899406765120602,0.9868466391255049,0.1408481425036369,0.16219328221868376,0.17974932720786427,1.0
75,trim_5bp,CK4+P_train_zscore,250,147,1.0,0.9228017126720461,0.8432995994022605,0.37701463125489554,0.559821705063641,0.21344816588166754,1.0
75,trim_5bp,CK4+P_unit_range,250,147,1.0,0.9898485334434262,0.9867478521793173,0.14150013010465526,0.16280139618895273,0.1810305332441478,1.0
75,trim_5bp,CK4P-MSP_declared,250,222,1.0,0.9929497241226501,0.9908463222352908,0.11795358151203214,0.1353034482425983,0.12124070178956066,1.0
75,trim_5bp,CK4P-MSP_train_zscore,250,222,1.0,0.9047612744476892,0.816300735528693,0.42172028983207527,0.60610575435943,0.22924507989434154,1.0
75,trim_5bp,CK4P-MSP_unit_range,250,222,1.0,0.9910527878570153,0.9876045358148845,0.1328348959979631,0.15745028857426083,0.12930812374088105,1.0
75,substitution_1pct_N_3pct,P_declared,250,11,0.064,0.9982749043563147,0.9978494800995441,0.058653804840804034,0.0655823074693402,-0.000270072995880422,0.064
75,substitution_1pct_N_3pct,P_train_zscore,250,11,0.004,0.41646561104845337,0.0060685911083801156,1.0535255041929061,1.4099156733384337,-0.4016221790637439,0.004
75,substitution_1pct_N_3pct,P_unit_range,250,11,0.26,0.9991297591950768,0.9987378914623455,0.041452847651745076,0.050240645383085265,-0.00011132422688187216,0.256
75,substitution_1pct_N_3pct,MSP_declared,250,75,0.976,0.9991173047380699,0.9982687930990134,0.041160167232988217,0.058841602272830924,0.0013261938359402717,0.976
75,substitution_1pct_N_3pct,MSP_train_zscore,250,75,0.944,0.8736721959695076,0.726785705864715,0.48103592092683883,0.7392027159518665,0.14263919346897347,0.944
75,substitution_1pct_N_3pct,MSP_unit_range,250,75,1.0,0.9976405494914427,0.9956936848314955,0.06737499791115775,0.09280281427473384,0.011295744140428585,1.0
75,substitution_1pct_N_3pct,CK4+P_declared,250,147,1.0,0.9708284973086273,0.9395762428461912,0.23270997071839128,0.3476291491895913,0.16431515273254427,1.0
75,substitution_1pct_N_3pct,CK4+P_train_zscore,250,147,0.608,0.6799238506546967,0.4826606542538783,0.7846335516031036,1.0171785965661793,0.04126302869724192,0.608
75,substitution_1pct_N_3pct,CK4+P_unit_range,250,147,1.0,0.9712559247280084,0.9399617316510424,0.23069045486038028,0.34651757023223745,0.16574039176812103,1.0
75,substitution_1pct_N_3pct,CK4P-MSP_declared,250,222,1.0,0.9802580997851083,0.9593307769704753,0.1916295815072474,0.28519722269054415,0.1112384063150028,1.0
75,substitution_1pct_N_3pct,CK4P-MSP_train_zscore,250,222,0.976,0.7445066324263003,0.6034218206438573,0.7050818687923499,0.8905931701296932,0.15344544832708953,0.976
75,substitution_1pct_N_3pct,CK4P-MSP_unit_range,250,222,1.0,0.9800507996491533,0.9588224451628281,0.19254333895639883,0.28696991251683496,0.12093783687430887,1.0
75,local_mismatch_6bp,P_declared,250,11,0.164,0.9998920363272581,0.9996787792393521,0.012852275420814593,0.025342981833781673,-7.071410923468591e-05,0.156
75,local_mismatch_6bp,P_train_zscore,250,11,0.236,0.9411484804721993,0.8053368544480717,0.28752974310245677,0.6237039361395927,-0.031402174928334456,0.232
75,local_mismatch_6bp,P_unit_range,250,11,0.184,0.999460686408225,0.9984615971745686,0.029227480476601116,0.05546881543315969,-0.00028198022478027787,0.18
75,local_mismatch_6bp,MSP_declared,250,75,0.92,0.9993153503695578,0.9978750273697841,0.03337583647644943,0.0651906416330021,0.0011016355015921531,0.92
75,local_mismatch_6bp,MSP_train_zscore,250,75,0.908,0.90898964607304,0.7182171939246765,0.3860604929669914,0.7503995065578265,0.1536954306995861,0.908
75,local_mismatch_6bp,MSP_unit_range,250,75,0.94,0.9954051405861104,0.986138629508011,0.0871893826896154,0.16650145392193416,0.008196626680680325,0.94
75,local_mismatch_6bp,CK4+P_declared,250,147,1.0,0.9647826507127096,0.9524088301353147,0.2635004298478197,0.3085157903960767,0.15702707577019415,1.0
75,local_mismatch_6bp,CK4+P_train_zscore,250,147,0.988,0.9354108727851802,0.8583652517652735,0.3447302891165934,0.5321620907122951,0.18197400322532634,0.988
75,local_mismatch_6bp,CK4+P_unit_range,250,147,1.0,0.964566975753193,0.9522340905244068,0.2643306187706581,0.3090814252069601,0.15850504579569685,1.0
75,local_mismatch_6bp,CK4P-MSP_declared,250,222,1.0,0.9762935505983258,0.9681588283768162,0.21621365264408735,0.25235351490186136,0.10635642802497841,1.0
75,local_mismatch_6bp,CK4P-MSP_train_zscore,250,222,1.0,0.926603797214467,0.8273029754877977,0.36463509832551677,0.5876967881896503,0.2250143997188923,1.0
75,local_mismatch_6bp,CK4P-MSP_unit_range,250,222,1.0,0.9748463640308322,0.966309582223103,0.222756108350506,0.25957816207792955,0.11565616554132621,1.0
75,short_indel,P_declared,250,11,0.776,0.9999944455288243,0.9999811714567622,0.002269770646013512,0.00613639728627753,1.991936315783205e-05,0.744
75,short_indel,P_train_zscore,250,11,0.88,0.9914262662309387,0.9640970874451884,0.08192252134430567,0.26789967904345746,0.013624521272681987,0.868
