retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,binset,bins,max_bin_count,gamma,n_pairs,k_dim,p_dim,m_dim,total_dim
1.0,0.9913037857393829,0.9742219537101764,0.09546486910123375,0.22705468278980184,0.16149395960465981,1.0,69,short_indel,2_3_4,2+3+4,4,0.5,250,136,11,45,192
1.0,0.9934586436481823,0.9806125215688859,0.08281526710933539,0.19690863458288058,0.12211138816827341,1.0,69,short_indel,2_3_4,2+3+4,4,1.0,250,136,11,45,192
1.0,0.9966909305113814,0.9902055435031494,0.05895240840007146,0.13995525656830884,0.06291645392121507,1.0,69,short_indel,2_3_4,2+3+4,4,2.0,250,136,11,45,192
1.0,0.9902263567849834,0.9710266697808211,0.10119837779127967,0.2407160834232589,0.1811779111062852,1.0,69,short_indel,2_3_4_6,2+3+4+6,6,0.0,250,136,11,75,222
1.0,0.990518767272926,0.971895528222483,0.09967626504746338,0.2370791611881814,0.17585935904210595,1.0,69,short_indel,2_3_4_6,2+3+4+6,6,0.25,250,136,11,75,222
1.0,0.9912985285741068,0.9742124840669146,0.09549872420921497,0.2270961179278071,0.1616765535376281,1.0,69,short_indel,2_3_4_6,2+3+4+6,6,0.5,250,136,11,75,222
1.0,0.9934428721523536,0.9805841126391018,0.08293192547263231,0.19705183325400027,0.12265969726679955,1.0,69,short_indel,2_3_4_6,2+3+4+6,6,1.0,250,136,11,75,222
1.0,0.996659387519724,0.9901989494795508,0.059276041261457635,0.14000179022174486,0.06396640700555183,1.0,69,short_indel,2_3_4_6,2+3+4+6,6,2.0,250,136,11,75,222
1.0,0.9895643718353683,0.9654944233622733,0.09927342177122532,0.2626993329880071,0.17389951647608676,1.0,75,substitution_1pct,2,2,2,0.0,250,136,11,10,157
1.0,0.9898797189607846,0.9665364758106592,0.097763185779807,0.25870222429402917,0.1687038872654063,1.0,75,substitution_1pct,2,2,2,0.25,250,136,11,10,157
1.0,0.9907206446285615,0.9693152823396859,0.09361653981463328,0.24772816619574378,0.15484840897642124,1.0,75,substitution_1pct,2,2,2,0.5,250,136,11,10,157
1.0,0.993033190214948,0.9769570002945109,0.08112553629038687,0.21467616044890084,0.11671894863295583,1.0,75,substitution_1pct,2,2,2,1.0,250,136,11,10,157
1.0,0.9965020085945276,0.988419577226749,0.05750184352801023,0.15218662259068466,0.059444119338889524,1.0,75,substitution_1pct,2,2,2,2.0,250,136,11,10,157
1.0,0.9895643718353683,0.9654944233622733,0.09927342177122532,0.2626993329880071,0.17389951647608676,1.0,75,substitution_1pct,2_3,2+3,3,0.0,250,136,11,25,172
1.0,0.9898794093442717,0.9665342833715052,0.09776508833895113,0.2587106948386622,0.16873211708351732,1.0,75,substitution_1pct,2_3,2+3,3,0.25,250,136,11,25,172
1.0,0.9907195093680135,0.9693072433961218,0.0936236234391325,0.24776059898321004,0.15495175126971686,1.0,75,substitution_1pct,2_3,2+3,3,0.5,250,136,11,25,172
1.0,0.9930297844333038,0.9769328834638188,0.08114890805428522,0.21478841507068291,0.11703629199840673,1.0,75,substitution_1pct,2_3,2+3,3,1.0,250,136,11,25,172
1.0,0.9964951970312392,0.9883713435653647,0.05756481868320763,0.15250304927097053,0.0600615302130509,1.0,75,substitution_1pct,2_3,2+3,3,2.0,250,136,11,25,172
1.0,0.9895643718353683,0.9654944233622733,0.09927342177122532,0.2626993329880071,0.17389951647608676,1.0,75,substitution_1pct,2_3_4,2+3+4,4,0.0,250,136,11,45,192
1.0,0.9898790544572778,0.9665332030070436,0.09776717129157621,0.2587148766297124,0.16876018525220834,1.0,75,substitution_1pct,2_3_4,2+3+4,4,0.25,250,136,11,45,192
1.0,0.9907182081157034,0.9693032820597626,0.09363138764949812,0.24777660963519255,0.15505466788825079,1.0,75,substitution_1pct,2_3_4,2+3+4,4,0.5,250,136,11,45,192
1.0,0.9930258806763734,0.9769209994547414,0.0811746988414956,0.21484381691360624,0.11734332316917875,1.0,75,substitution_1pct,2_3_4,2+3+4,4,1.0,250,136,11,45,192
1.0,0.9964873895173785,0.9883475755472095,0.05763494130343007,0.1526590684407064,0.06067145850154229,1.0,75,substitution_1pct,2_3_4,2+3+4,4,2.0,250,136,11,45,192
1.0,0.9895643718353683,0.9654944233622733,0.09927342177122532,0.2626993329880071,0.17389951647608676,1.0,75,substitution_1pct,2_3_4_6,2+3+4+6,6,0.0,250,136,11,75,222
1.0,0.9898784369401409,0.9665305048650833,0.09777076832848014,0.2587252963932347,0.1688057225904022,1.0,75,substitution_1pct,2_3_4_6,2+3+4+6,6,0.25,250,136,11,75,222
1.0,0.9907159438862009,0.969293388872575,0.0936447735164301,0.2478164992434081,0.15522156078819094,1.0,75,substitution_1pct,2_3_4_6,2+3+4+6,6,0.5,250,136,11,75,222
1.0,0.993019087987866,0.9768913198931782,0.08121923864911947,0.21498179065650433,0.1178519098127957,1.0,75,substitution_1pct,2_3_4_6,2+3+4+6,6,1.0,250,136,11,75,222
1.0,0.9964738041403637,0.9882882164240839,0.05775635929541431,0.15304699153588683,0.06166916270899171,1.0,75,substitution_1pct,2_3_4_6,2+3+4+6,6,2.0,250,136,11,75,222
1.0,0.9837871361327755,0.976773147574114,0.17841892733376558,0.2155309857798086,0.17295456433910522,1.0,75,N_3pct,2,2,2,0.0,250,136,11,10,157
1.0,0.9842687617654312,0.977459886686483,0.17575140977775688,0.21232082657929965,0.1677884573203729,1.0,75,N_3pct,2,2,2,0.25,250,136,11,10,157
1.0,0.9855530967858467,0.9792911909861338,0.16843153674641229,0.2035129971518917,0.1540081597276912,1.0,75,N_3pct,2,2,2,0.5,250,136,11,10,157
1.0,0.9890850180919891,0.984327277810172,0.14642608509602198,0.1770463372821693,0.11610410045506811,1.0,75,N_3pct,2,2,2,1.0,250,136,11,10,157
1.0,0.9943829000512028,0.9918933567543322,0.10509730588066227,0.1273313758501541,0.059178402097471154,1.0,75,N_3pct,2,2,2,2.0,250,136,11,10,157
1.0,0.9837871361327755,0.976773147574114,0.17841892733376558,0.2155309857798086,0.17295456433910522,1.0,75,N_3pct,2_3,2+3,3,0.0,250,136,11,25,172
1.0,0.9842645254544871,0.9774640953620742,0.1757764188691336,0.21230100023405063,0.1678178880641117,1.0,75,N_3pct,2_3,2+3,3,0.25,250,136,11,25,172
1.0,0.9855375636457183,0.9793029889767828,0.16852715569454638,0.2034550324986477,0.15411571036912813,1.0,75,N_3pct,2_3,2+3,3,0.5,250,136,11,25,172
1.0,0.9890384186716035,0.9843543120343615,0.14675516709151323,0.17689365393749676,0.11642407771895656,1.0,75,N_3pct,2_3,2+3,3,1.0,250,136,11,25,172
1.0,0.9942897012104317,0.9918834401966645,0.10600558039424411,0.12740924413681343,0.059781654975509226,1.0,75,N_3pct,2_3,2+3,3,2.0,250,136,11,25,172
1.0,0.9837871361327755,0.976773147574114,0.17841892733376558,0.2155309857798086,0.17295456433910522,1.0,75,N_3pct,2_3_4,2+3+4,4,0.0,250,136,11,45,192
1.0,0.9842599551618768,0.977455285933751,0.17580333013916646,0.2123425361357689,0.16784403785258667,1.0,75,N_3pct,2_3_4,2+3+4,4,0.25,250,136,11,45,192
1.0,0.9855208059061477,0.9792743215594502,0.16862997880642325,0.2035959983201386,0.15421060414673207,1.0,75,N_3pct,2_3_4,2+3+4,4,0.5,250,136,11,45,192
1.0,0.9889881454528917,0.9842693353739471,0.14710812815506194,0.17737329823505701,0.11670183082843709,1.0,75,N_3pct,2_3_4,2+3+4,4,1.0,250,136,11,45,192
