sample_id,length,local_mode,representation,representation_label,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,n_features
L69_center_00222,69,center,ck4,CK4,0.41256849850351734,0.32428101640449497,-0.08828748209902237,0.7860052756832823,136
L69_center_00223,69,center,ck4,CK4,0.40189845597485996,0.3078053145646367,-0.09409314141022324,0.765878320726594,136
L69_center_00224,69,center,ck4,CK4,0.3440549047059948,0.31622776601683794,-0.02782713868915687,0.9191200639533508,136
L69_center_00225,69,center,ck4,CK4,0.38098285131231924,0.3021307822742735,-0.07885206903804576,0.7930298732175611,136
L69_center_00226,69,center,ck4,CK4,0.4212049868819779,0.31008683647302115,-0.11111815040895673,0.7361898508573638,136
L69_center_00227,69,center,ck4,CK4,0.4060183863765684,0.32274861218395146,-0.08326977419261694,0.794911321785839,136
L69_center_00228,69,center,ck4,CK4,0.3763928881915221,0.30557270180277796,-0.07082018638874416,0.8118450464645647,136
L69_center_00229,69,center,ck4,CK4,0.3095185065884909,0.3445572061999557,0.03503869961146483,1.1132038920633889,136
L69_center_00230,69,center,ck4,CK4,0.3615855260900683,0.33377699169193265,-0.02780853439813563,0.9230927888656452,136
L69_center_00231,69,center,ck4,CK4,0.4082482904638631,0.31881883467423466,-0.08942945578962841,0.7809434653406235,136
L69_center_00232,69,center,ck4,CK4,0.41206608555993846,0.325506096812002,-0.08655998874793647,0.789936634483486,136
