retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,representation_label,n_pairs,n_features
1.0,0.9764850314184857,0.9685648728481471,0.21528612710303527,0.25073941376837316,0.23491912689936661,1.0,150,local_mismatch_6bp,ck4,CK4,500,136
0.196,0.9999753845795993,0.9999306096340014,0.006264499498750057,0.011780521720665698,-1.071461614325342e-05,0.194,150,local_mismatch_6bp,p,P,500,11
0.986,0.999828569650293,0.9995189687025614,0.01665046392638079,0.031017133792711385,0.000682117482173386,0.986,150,local_mismatch_6bp,msp,MSP,500,75
1.0,0.9882302079990426,0.9842773741794723,0.15231305518289315,0.17732808980220396,0.11771694422080484,1.0,150,local_mismatch_6bp,ck4_p,CK4+P,500,147
1.0,0.9881568005343895,0.9842498526064231,0.15280003995695582,0.17748322394589083,0.11884149649915735,1.0,150,local_mismatch_6bp,ck4_msp,CK4+MSP,500,211
0.99,0.9999019771149461,0.9997310396465815,0.012607088038054787,0.023193070524323733,0.0003865370502928371,0.99,150,local_mismatch_6bp,p_msp,P+MSP,500,86
1.0,0.9920963285494593,0.9894986948713699,0.12482780370036105,0.14492277342511484,0.07938872660061835,1.0,150,local_mismatch_6bp,ck4_p_msp,CK4P-MSP,500,222
1.0,0.9893157016082085,0.9711860116219068,0.12185117428301052,0.2400582347930108,0.24459307156479798,1.0,150,short_indel,ck4,CK4,500,136
0.758,0.9999958634445365,0.9999862198960859,0.002307307898107844,0.005249781672925533,1.095998111505625e-05,0.752,150,short_indel,p,P,500,11
1.0,0.9999536761890226,0.9998816355007963,0.00801626082242526,0.015385998807111903,0.0008163989588602088,1.0,150,short_indel,msp,MSP,500,75
1.0,0.9946557825263727,0.9855869962317284,0.08618005552645132,0.16978220917022432,0.12254670446437632,1.0,150,short_indel,ck4_p,CK4+P,500,147
1.0,0.9946346888986155,0.9855694728444938,0.08637754259617024,0.16988537581896074,0.12369455236831632,1.0,150,short_indel,ck4_msp,CK4+MSP,500,211
1.0,0.9999747698167796,0.9999375096946839,0.0059377149865327125,0.011179440809884512,0.00046516519551808043,1.0,150,short_indel,p_msp,P+MSP,500,86
1.0,0.9964217470805891,0.9903756421768458,0.0705418260518775,0.13873971220448078,0.08262677481808452,1.0,150,short_indel,ck4_p_msp,CK4P-MSP,500,222
