length,condition,condition_label,method,pattern,cardinality,span,role,add_property,n_pairs,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,retrieval_top1,n_features
75,substitution_1pct,1% substitution,canonical spaced,0-1-2-3-4,5,5,cardinality sanity check,False,240,0.9589664451800652,0.8675587940148676,0.20567473193448896,0.514665450685107,1.0,512
75,substitution_1pct,1% substitution,canonical spaced + property,0-1-2-3-4,5,5,cardinality sanity check,True,240,0.9956065728536321,0.9858505458576325,0.06729163794959012,0.16822278060553977,1.0,523
75,substitution_1pct,1% substitution,canonical spaced,0-1-3-6-9,5,10,cardinality sanity check,False,240,0.9577838246358593,0.8610175635042567,0.20801162313086666,0.5272231770422879,1.0,512
75,substitution_1pct,1% substitution,canonical spaced + property,0-1-3-6-9,5,10,cardinality sanity check,True,240,0.9954859552089628,0.985008599923808,0.06803067079248318,0.17315539912917652,1.0,523
75,substitution_1pct,1% substitution,canonical spaced,0-2-4-6-8,5,9,cardinality sanity check,False,240,0.9578914472411348,0.8668734225126138,0.2069362474874925,0.5159965348579396,1.0,512
75,substitution_1pct,1% substitution,canonical spaced + property,0-2-4-6-8,5,9,cardinality sanity check,True,240,0.9955120509977469,0.9852583566774012,0.06763515018402763,0.17170697825558504,1.0,523
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-2,3,3,cardinality sanity check,False,240,0.970538835977744,0.9534731239882375,0.23954902673874592,0.30504696346580307,1.0,32
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-2,3,3,cardinality sanity check,True,240,0.9967398391254041,0.9948146697694501,0.0796812778168962,0.10183642385007707,1.0,43
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-2-4,3,5,cardinality sanity check,False,240,0.960744236821739,0.9367051553370607,0.2759999833112963,0.3557943162697149,1.0,32
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-2-4,3,5,cardinality sanity check,True,240,0.9956887390700332,0.9931288687624036,0.0914543852468379,0.11722733727243148,1.0,43
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-3-6,3,7,cardinality sanity check,False,240,0.9489825401276716,0.9185111634043458,0.3136529858148735,0.4037047488366004,0.9958333333333333,32
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-3-6,3,7,cardinality sanity check,True,240,0.9944396177898925,0.9913589222478562,0.10363294144046523,0.13146146530767458,0.9958333333333333,43
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced,0-1-2-3,4,4,primary four-position scan,False,240,0.9287420583914933,0.9063120111852915,0.37507360970817805,0.4328694433435273,1.0,136
75,local_mismatch_6bp,6-bp local mismatch,canonical spaced + property,0-1-2-3,4,4,primary four-position scan,True,240,0.9922523416795619,0.9895419061166069,0.12362253935744591,0.14462428857960968,1.0,147
