sample_id,length,local_mode,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,n_features
L69_center_00243,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3942636878361688,136
L69_center_00244,69,center,ck4,CK4,dispersed_random,dispersed,random,0.2767081128517001,136
L69_center_00245,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4258502413745204,136
L69_center_00246,69,center,ck4,CK4,dispersed_random,dispersed,random,0.34002867180383045,136
L69_center_00247,69,center,ck4,CK4,dispersed_random,dispersed,random,0.3552632483483133,136
L69_center_00248,69,center,ck4,CK4,dispersed_random,dispersed,random,0.4238636235267735,136
L69_center_00249,69,center,ck4,CK4,dispersed_random,dispersed,random,0.28700578424763523,136
L69_center_00000,69,center,ck4,CK4,contiguous_random,contiguous,random,0.324281016404495,136
L69_center_00001,69,center,ck4,CK4,contiguous_random,contiguous,random,0.30557270180277796,136
L69_center_00002,69,center,ck4,CK4,contiguous_random,contiguous,random,0.32969023669789344,136
L69_center_00003,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3209236243448871,136
L69_center_00004,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3269640522775952,136
L69_center_00005,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3313245784203318,136
L69_center_00006,69,center,ck4,CK4,contiguous_random,contiguous,random,0.31644526206290147,136
L69_center_00007,69,center,ck4,CK4,contiguous_random,contiguous,random,0.2909859202655958,136
L69_center_00008,69,center,ck4,CK4,contiguous_random,contiguous,random,0.33884803603683206,136
L69_center_00009,69,center,ck4,CK4,contiguous_random,contiguous,random,0.36503242525743457,136
L69_center_00010,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3145185097799815,136
L69_center_00011,69,center,ck4,CK4,contiguous_random,contiguous,random,0.33884803603683206,136
L69_center_00012,69,center,ck4,CK4,contiguous_random,contiguous,random,0.2793955540909634,136
L69_center_00013,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3021307822742735,136
L69_center_00014,69,center,ck4,CK4,contiguous_random,contiguous,random,0.2994087989442229,136
L69_center_00015,69,center,ck4,CK4,contiguous_random,contiguous,random,0.30256808865702395,136
L69_center_00016,69,center,ck4,CK4,contiguous_random,contiguous,random,0.32774604204307783,136
L69_center_00017,69,center,ck4,CK4,contiguous_random,contiguous,random,0.32901153193317956,136
L69_center_00018,69,center,ck4,CK4,contiguous_random,contiguous,random,0.3221104011474494,136
L69_center_00019,69,center,ck4,CK4,contiguous_random,contiguous,random,0.32092362434488714,136
L69_center_00020,69,center,ck4,CK4,contiguous_random,contiguous,random,0.31622776601683783,136
L69_center_00021,69,center,ck4,CK4,contiguous_random,contiguous,random,0.31943828249996997,136
