task,length,condition,model,family,input_name,macro_f1,accuracy,clean_macro_f1,clean_accuracy,macro_f1_drop_vs_clean,accuracy_drop_vs_clean
target_background,150,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.4682306940371457,0.46875,0.5189542483660131,0.5208333333333334,0.05072355432886744,0.05208333333333337
target_background,150,N_3pct,tiny_transformer_property,tiny_transformer,property,0.5816993464052287,0.5833333333333334,0.5516454871293581,0.5520833333333334,-0.030053859275870565,-0.03125
global_species,150,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.1705365844956509,0.1764705882352941,0.1583162045580184,0.171945701357466,-0.012220379937632503,-0.004524886877828094
global_species,150,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.1187359362646719,0.1357466063348416,0.0852507079128791,0.0950226244343891,-0.033485228351792795,-0.0407239819004525
global_species,150,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.1300526971351861,0.1493212669683258,0.1312785749235569,0.1312217194570135,0.0012258777883707994,-0.01809954751131229
global_species,150,N_3pct,cnn_onehot,cnn1d,onehot,0.0470657162386485,0.0995475113122171,0.0377650159162764,0.1040723981900452,-0.009300700322372096,0.004524886877828094
global_species,150,N_3pct,cnn_property,cnn1d,property,0.04672698961802,0.1221719457013574,0.0368246087929824,0.090497737556561,-0.009902380825037603,-0.031674208144796406
global_species,150,N_3pct,tiny_transformer_onehot,tiny_transformer,onehot,0.0794637719264276,0.1357466063348416,0.0621293900971969,0.1176470588235294,-0.0173343818292307,-0.018099547511312195
global_species,150,N_3pct,tiny_transformer_property,tiny_transformer,property,0.048202655446415,0.1357466063348416,0.0563053440779121,0.1221719457013574,0.008102688631497101,-0.013574660633484184
within_genus_species:Enterobacter,150,N_3pct,mlp_ckmer5,tabular_mlp,ckmer5_count_l2,0.1667958656330749,0.1698113207547169,0.206060606060606,0.2264150943396226,0.039264740427531086,0.0566037735849057
within_genus_species:Enterobacter,150,N_3pct,mlp_csp,tabular_mlp,cspaced_property_l2,0.1507777777777777,0.2075471698113207,0.208110275689223,0.2264150943396226,0.05733249791144529,0.018867924528301883
within_genus_species:Enterobacter,150,N_3pct,mlp_hybrid,tabular_mlp,hybrid_ckmer5_csp,0.1949936143039591,0.2075471698113207,0.2386031746031745,0.2452830188679245,0.04360956029921542,0.03773584905660379
within_genus_species:Enterobacter,150,N_3pct,cnn_onehot,cnn1d,onehot,0.0634920634920634,0.1886792452830188,0.1734496124031007,0.2452830188679245,0.10995754891103729,0.0566037735849057
