error,representation,classifier,n_classes,n_groups,task,genus,label_col,split,fold,length,condition,n_samples,n_features,accuracy,macro_f1
,ck4p_msp,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,69.0,N_3pct,9.0,222.0,1.0,1.0
,ck4p_msp,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,2.0,69.0,N_3pct,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,nearest_centroid,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,69.0,N_3pct,9.0,222.0,0.6666666666666666,0.4
,ck4p_msp,logistic,2,9,target_background,Escherichia,target_binary,3fold_grouped_cv,3.0,69.0,N_3pct,9.0,222.0,0.6666666666666666,0.4
not enough labels or groups,ck4,all,3,11,within_genus_species,Klebsiella,label,,,,,,,,
not enough labels or groups,ck4p_msp,all,3,11,within_genus_species,Klebsiella,label,,,,,,,,
not enough labels or groups,ck4,all,2,11,target_background,Klebsiella,target_binary,,,,,,,,
not enough labels or groups,ck4p_msp,all,2,11,target_background,Klebsiella,target_binary,,,,,,,,
,ck4,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,1.0,75.0,clean,17.0,136.0,0.5,0.39285714285714285
,ck4,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,1.0,75.0,clean,17.0,136.0,0.5,0.3333333333333333
,ck4,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,2.0,75.0,clean,17.0,136.0,0.3333333333333333,0.125
,ck4,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,2.0,75.0,clean,17.0,136.0,0.3333333333333333,0.125
,ck4,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,3.0,75.0,clean,17.0,136.0,0.2,0.08333333333333333
,ck4,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,3.0,75.0,clean,17.0,136.0,0.2,0.08333333333333333
,ck4p_msp,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,1.0,75.0,clean,17.0,222.0,0.5,0.39285714285714285
,ck4p_msp,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,1.0,75.0,clean,17.0,222.0,0.3333333333333333,0.14285714285714285
,ck4p_msp,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,2.0,75.0,clean,17.0,222.0,0.3333333333333333,0.125
,ck4p_msp,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,2.0,75.0,clean,17.0,222.0,0.3333333333333333,0.125
,ck4p_msp,nearest_centroid,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,3.0,75.0,clean,17.0,222.0,0.2,0.08333333333333333
,ck4p_msp,logistic,4,17,within_genus_species,Acinetobacter,label,3fold_grouped_cv,3.0,75.0,clean,17.0,222.0,0.4,0.14285714285714285
,ck4,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,75.0,clean,20.0,136.0,0.42857142857142855,0.19999999999999998
,ck4,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,75.0,clean,20.0,136.0,0.2857142857142857,0.14814814814814814
,ck4,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,75.0,clean,20.0,136.0,0.42857142857142855,0.3238095238095238
,ck4,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,75.0,clean,20.0,136.0,0.5714285714285714,0.4444444444444444
,ck4,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,75.0,clean,20.0,136.0,0.5,0.41269841269841273
,ck4,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,3.0,75.0,clean,20.0,136.0,0.3333333333333333,0.16666666666666666
,ck4p_msp,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,75.0,clean,20.0,222.0,0.42857142857142855,0.19999999999999998
,ck4p_msp,logistic,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,1.0,75.0,clean,20.0,222.0,0.2857142857142857,0.14814814814814814
,ck4p_msp,nearest_centroid,3,20,within_genus_species,Burkholderia,label,3fold_grouped_cv,2.0,75.0,clean,20.0,222.0,0.42857142857142855,0.3238095238095238
