motif_position,length,observed_layout,representation,anchor_visible_rate,class_motif_visible_rate,any_class_motif_visible_rate,pair_visible_rate,partial_class_prefix_visible_rate,mi_label_pair_visible,mi_label_any_class_visible,mean_context_distance,base_tokens,k5_tokens,full_attention_base_pairs,full_attention_k5_pairs,classifier,accuracy,macro_f1,n_features
130,145,SE145,property_channels,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,145,141,21025,19881,nearest_linear_probe,1.0,1.0,725
130,145,SE145,rope_property,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,145,141,21025,19881,nearest_linear_probe,1.0,1.0,2320
130,145,SE145,spaced_kmer_phase,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,145,141,21025,19881,nearest_linear_probe,1.0,1.0,2224
130,145,SE145,cspaced_property_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,145,141,21025,19881,nearest_linear_probe,0.7037037037037037,0.7041050338263961,147
130,145,SE145,oracle_motif_pair,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,145,141,21025,19881,nearest_linear_probe,1.0,1.0,11
130,148,SE148,kmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,148,144,21904,20736,nearest_linear_probe,0.9814814814814815,0.9813437703848663,1024
130,148,SE148,ckmer5_count_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,148,144,21904,20736,nearest_linear_probe,0.9907407407407407,0.9907389542735867,512
130,148,SE148,property_channels,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,148,144,21904,20736,nearest_linear_probe,1.0,1.0,740
130,148,SE148,rope_property,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,148,144,21904,20736,nearest_linear_probe,1.0,1.0,2368
130,148,SE148,spaced_kmer_phase,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,148,144,21904,20736,nearest_linear_probe,1.0,1.0,2272
130,148,SE148,cspaced_property_l2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,148,144,21904,20736,nearest_linear_probe,0.6851851851851852,0.6848121075256036,147
130,148,SE148,oracle_motif_pair,1.0,1.0,1.0,1.0,1.0,0.0,0.0,112.0,148,144,21904,20736,nearest_linear_probe,1.0,1.0,11
