sample_id,length,representation,representation_label,variant,spatial_pattern,chemistry,l2_drift,paired_cosine,n_features
Acinetobacter_baumannii_L69_R0017,69,ck4,CK4,contiguous_random,contiguous,random,0.24760657720567414,0.9693454914622454,136
Acinetobacter_baumannii_L69_R0017,69,ck4,CK4,contiguous_property,contiguous,property,0.2261227652222316,0.9744342475241259,136
Candida_albicans_L69_R0030,69,ck4,CK4,dispersed_random,dispersed,random,0.2958720887450491,0.9562298535508209,136
Candida_albicans_L69_R0030,69,ck4,CK4,dispersed_property,dispersed,property,0.2958720887450491,0.9562298535508209,136
Candida_albicans_L69_R0030,69,ck4,CK4,contiguous_random,contiguous,random,0.2681278589013151,0.9640537256404984,136
Candida_albicans_L69_R0030,69,ck4,CK4,contiguous_property,contiguous,property,0.26919095102908275,0.963768115942029,136
Enterobacter_hormaechei_L69_R0065,69,ck4,CK4,dispersed_random,dispersed,random,0.3931372044480121,0.9227215692394009,136
Enterobacter_hormaechei_L69_R0065,69,ck4,CK4,dispersed_property,dispersed,property,0.4,0.9200000000000002,136
Enterobacter_hormaechei_L69_R0065,69,ck4,CK4,contiguous_random,contiguous,random,0.3188188346742347,0.9491772753284817,136
Enterobacter_hormaechei_L69_R0065,69,ck4,CK4,contiguous_property,contiguous,property,0.28284271247461906,0.9600000000000001,136
Enterobacter_hormaechei_L69_R0053,69,ck4,CK4,dispersed_random,dispersed,random,0.3761916344264313,0.9292399270937853,136
Enterobacter_hormaechei_L69_R0053,69,ck4,CK4,dispersed_property,dispersed,property,0.3761916344264313,0.9292399270937853,136
Enterobacter_hormaechei_L69_R0053,69,ck4,CK4,contiguous_random,contiguous,random,0.29735621972151605,0.9557896392964649,136
Enterobacter_hormaechei_L69_R0053,69,ck4,CK4,contiguous_property,contiguous,property,0.3016951186921723,0.9544900276786581,136
Klebsiella_variicola_L69_R0046,69,ck4,CK4,dispersed_random,dispersed,random,0.4249290475016175,0.9097176522946842,136
Klebsiella_variicola_L69_R0046,69,ck4,CK4,dispersed_property,dispersed,property,0.40213174453639466,0.9191450300180579,136
Klebsiella_variicola_L69_R0046,69,ck4,CK4,contiguous_random,contiguous,random,0.3528131012473547,0.9377614577941118,136
Klebsiella_variicola_L69_R0046,69,ck4,CK4,contiguous_property,contiguous,property,0.3528131012473547,0.937761457794112,136
Enterobacter_bugandensis_L69_R0001,69,ck4,CK4,dispersed_random,dispersed,random,0.3815233846938428,0.927219953465877,136
Enterobacter_bugandensis_L69_R0001,69,ck4,CK4,dispersed_property,dispersed,property,0.3721862694993628,0.930738690398074,136
Enterobacter_bugandensis_L69_R0001,69,ck4,CK4,contiguous_random,contiguous,random,0.31622776601683794,0.9500000000000001,136
Enterobacter_bugandensis_L69_R0001,69,ck4,CK4,contiguous_property,contiguous,property,0.31622776601683794,0.9500000000000001,136
Klebsiella_pneumoniae_L69_R0020,69,ck4,CK4,dispersed_random,dispersed,random,0.35675303400633784,0.9363636363636363,136
Klebsiella_pneumoniae_L69_R0020,69,ck4,CK4,dispersed_property,dispersed,property,0.35675303400633784,0.9363636363636363,136
Klebsiella_pneumoniae_L69_R0020,69,ck4,CK4,contiguous_random,contiguous,random,0.3044801149217258,0.9536459298086265,136
Klebsiella_pneumoniae_L69_R0020,69,ck4,CK4,contiguous_property,contiguous,property,0.2720463206562041,0.962995399708711,136
Enterobacter_hormaechei_L69_R0000,69,ck4,CK4,dispersed_random,dispersed,random,0.39790145772965674,0.9208372149683072,136
Enterobacter_hormaechei_L69_R0000,69,ck4,CK4,dispersed_property,dispersed,property,0.4,0.92,136
Enterobacter_hormaechei_L69_R0000,69,ck4,CK4,contiguous_random,contiguous,random,0.3176684061121656,0.9495433918790781,136
Enterobacter_hormaechei_L69_R0000,69,ck4,CK4,contiguous_property,contiguous,property,0.3125275814382067,0.9511632554201926,136
Burkholderia_cenocepacia_L69_R0025,69,ck4,CK4,dispersed_random,dispersed,random,0.3763969638178548,0.9291626628143503,136
Burkholderia_cenocepacia_L69_R0025,69,ck4,CK4,dispersed_property,dispersed,property,0.41290151950456094,0.9147561675954126,136
Burkholderia_cenocepacia_L69_R0025,69,ck4,CK4,contiguous_random,contiguous,random,0.27831926607274055,0.9612691930663657,136
Burkholderia_cenocepacia_L69_R0025,69,ck4,CK4,contiguous_property,contiguous,property,0.27831926607274055,0.9612691930663657,136
Burkholderia_cenocepacia_L69_R0074,69,ck4,CK4,dispersed_random,dispersed,random,0.4102676829587255,0.9158402141598396,136
Burkholderia_cenocepacia_L69_R0074,69,ck4,CK4,dispersed_property,dispersed,property,0.4102676829587255,0.9158402141598396,136
Burkholderia_cenocepacia_L69_R0074,69,ck4,CK4,contiguous_random,contiguous,random,0.324281016404495,0.9474209111998342,136
Burkholderia_cenocepacia_L69_R0074,69,ck4,CK4,contiguous_property,contiguous,property,0.324281016404495,0.9474209111998342,136
Candida_albicans_L69_R0055,69,ck4,CK4,dispersed_random,dispersed,random,0.4212049868819779,0.9112931795128764,136
Candida_albicans_L69_R0055,69,ck4,CK4,dispersed_property,dispersed,property,0.3969923420930044,0.9211985401597554,136
Candida_albicans_L69_R0055,69,ck4,CK4,contiguous_random,contiguous,random,0.3107652529246299,0.9517124787873452,136
Candida_albicans_L69_R0055,69,ck4,CK4,contiguous_property,contiguous,property,0.3107652529246299,0.9517124787873452,136
Burkholderia_cepacia_L69_R0046,69,ck4,CK4,dispersed_random,dispersed,random,0.31189643063110634,0.9513603082797879,136
Burkholderia_cepacia_L69_R0046,69,ck4,CK4,dispersed_property,dispersed,property,0.33071683696684767,0.9453131868733218,136
Burkholderia_cepacia_L69_R0046,69,ck4,CK4,contiguous_random,contiguous,random,0.23044518692644358,0.9734475079112183,136
Burkholderia_cepacia_L69_R0046,69,ck4,CK4,contiguous_property,contiguous,property,0.2304451869264436,0.9734475079112183,136
Acinetobacter_baumannii_L69_R0070,69,ck4,CK4,dispersed_random,dispersed,random,0.39953959699031977,0.9201840552184065,136
Acinetobacter_baumannii_L69_R0070,69,ck4,CK4,dispersed_property,dispersed,property,0.4131364889233408,0.9146591207600472,136
Acinetobacter_baumannii_L69_R0070,69,ck4,CK4,contiguous_random,contiguous,random,0.31695088621397555,0.949771067864088,136
Acinetobacter_baumannii_L69_R0070,69,ck4,CK4,contiguous_property,contiguous,property,0.27853060421248516,0.961210351258514,136
Enterobacter_bugandensis_L69_R0070,69,ck4,CK4,dispersed_random,dispersed,random,0.44462722894373236,0.901153313640909,136
Enterobacter_bugandensis_L69_R0070,69,ck4,CK4,dispersed_property,dispersed,property,0.43712683758568205,0.9044600639311705,136
Enterobacter_bugandensis_L69_R0070,69,ck4,CK4,contiguous_random,contiguous,random,0.3201856212896195,0.9487405839596903,136
Enterobacter_bugandensis_L69_R0070,69,ck4,CK4,contiguous_property,contiguous,property,0.32298251745240636,0.9478411467100529,136
Escherichia_fergusonii_L69_R0014,69,ck4,CK4,dispersed_random,dispersed,random,0.4156188286543954,0.9136304946339742,136
Escherichia_fergusonii_L69_R0014,69,ck4,CK4,dispersed_property,dispersed,property,0.43003850726369225,0.9075334411352078,136
Escherichia_fergusonii_L69_R0014,69,ck4,CK4,contiguous_random,contiguous,random,0.33916962146334717,0.9424819839382049,136
Escherichia_fergusonii_L69_R0014,69,ck4,CK4,contiguous_property,contiguous,property,0.31311214554257477,0.9509803921568628,136
Acinetobacter_nosocomialis_L69_R0021,69,ck4,CK4,dispersed_random,dispersed,random,0.39402139690762206,0.922373569389483,136
Acinetobacter_nosocomialis_L69_R0021,69,ck4,CK4,dispersed_property,dispersed,property,0.3922322702763681,0.9230769230769231,136
Acinetobacter_nosocomialis_L69_R0021,69,ck4,CK4,contiguous_random,contiguous,random,0.3133221278480255,0.9509146221003928,136
Acinetobacter_nosocomialis_L69_R0021,69,ck4,CK4,contiguous_property,contiguous,property,0.2773500981126146,0.9615384615384616,136
Burkholderia_multivorans_L69_R0079,69,ck4,CK4,dispersed_random,dispersed,random,0.31143997455426353,0.95150257112482,136
Burkholderia_multivorans_L69_R0079,69,ck4,CK4,dispersed_property,dispersed,property,0.40256038381042397,0.9189725686932021,136
Burkholderia_multivorans_L69_R0079,69,ck4,CK4,contiguous_random,contiguous,random,0.28736587439859623,0.9587104271155651,136
Burkholderia_multivorans_L69_R0079,69,ck4,CK4,contiguous_property,contiguous,property,0.28736587439859623,0.9587104271155653,136
Burkholderia_cepacia_L69_R0072,69,ck4,CK4,dispersed_random,dispersed,random,0.34358955609626457,0.9409731084707861,136
Burkholderia_cepacia_L69_R0072,69,ck4,CK4,dispersed_property,dispersed,property,0.3443320427880741,0.940717722154696,136
Burkholderia_cepacia_L69_R0072,69,ck4,CK4,contiguous_random,contiguous,random,0.29811840309416315,0.9555627088682932,136
