retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,condition,representation,label,n_pairs,n_features,density
1.0,0.9848125553639252,0.979021674690751,0.17272328193704756,0.20483319076563933,0.038288757089960254,1.0,69,local_mismatch_6bp,cspaced_property_selected:hydrogen,canonical spaced + hydrogen,600,138,0.3616062801932367
1.0,0.9238207314249198,0.8943594142524025,0.3868488136513498,0.4596533045984435,0.1923355368019666,1.0,69,local_mismatch_6bp,cspaced_property_selected:gc,canonical spaced + gc,600,138,0.3616062801932367
1.0,0.9240923543714492,0.8945372272551378,0.38631177752070617,0.45926630368222526,0.19217820891828719,1.0,69,local_mismatch_6bp,cspaced_property_selected:purine,canonical spaced + purine,600,138,0.3616062801932367
1.0,0.8879828632277031,0.8459285044866025,0.46936186209283676,0.5551062880359947,0.28320270563379624,1.0,69,local_mismatch_6bp,cspaced_property_selected:eiip,canonical spaced + eiip,600,138,0.3616062801932367
1.0,0.8863641847435291,0.843795483574177,0.4727413702957883,0.558935624957203,0.28729958969199915,1.0,69,local_mismatch_6bp,cspaced_property_selected:n_fraction,canonical spaced + n_fraction,600,137,0.34964720194647203
1.0,0.9327431649295382,0.9085363074188004,0.3638464739217431,0.4277000803662073,0.17072690175346708,1.0,69,local_mismatch_6bp,cspaced_property_selected:entropy,canonical spaced + entropy,600,137,0.3569464720194647
1.0,0.8984510486749885,0.8604101638249161,0.44689316781749994,0.5283745568679373,0.2567409930001556,1.0,69,local_mismatch_6bp,cspaced_property_selected:length,canonical spaced + length,600,137,0.3569464720194647
1.0,0.9848125553639252,0.979021674690751,0.17272328193704756,0.20483319076563933,0.038288757089960254,1.0,69,local_mismatch_6bp,cspaced_property_selected:hydrogen,canonical spaced + cumulative hydrogen,600,138,0.3616062801932367
1.0,0.9856935096440164,0.9800654485208994,0.16761908483876428,0.19967248642108337,0.03609244329738108,1.0,69,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc,canonical spaced + cumulative hydrogen+gc,600,140,0.3707261904761905
1.0,0.9864954136285993,0.9812694101077365,0.16287785056983392,0.1935489058968715,0.03430747234251744,1.0,69,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine,canonical spaced + cumulative hydrogen+gc+purine,600,142,0.37958920187793427
1.0,0.9865183187240792,0.9813057813647265,0.16274031276671844,0.19336089610697335,0.034250519105891934,1.0,69,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine+eiip,canonical spaced + cumulative hydrogen+gc+purine+eiip,600,144,0.3882060185185185
1.0,0.9865183187240792,0.9813057813647265,0.16274031276671844,0.19336089610697335,0.03425051910589193,1.0,69,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction,600,145,0.3855287356321839
1.0,0.9875234686045724,0.982779509554757,0.15658926793429742,0.18558281353982928,0.03173722646609371,1.0,69,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy,600,146,0.38973744292237444
1.0,0.9876830465814878,0.9830266955864414,0.15558712107554243,0.18424604814628862,0.031333800246201506,1.0,69,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy+length,canonical spaced + cumulative hydrogen+gc+purine+eiip+n_fraction+entropy+length,600,147,0.3938888888888889
1.0,0.9876830465814878,0.9830266955864414,0.15558712107554243,0.18424604814628862,0.0313338002462015,1.0,69,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine+eiip+entropy+length,full CSP without N fraction,600,146,0.39658675799086757
1.0,0.9875234686045724,0.982779509554757,0.15658926793429742,0.18558281353982928,0.03173722646609371,1.0,69,local_mismatch_6bp,cspaced_property_selected:hydrogen+gc+purine+eiip+n_fraction+entropy,full CSP without length,600,146,0.38973744292237444
1.0,0.9876830465814878,0.9830266955864414,0.15558712107554243,0.18424604814628862,0.0313338002462015,1.0,69,local_mismatch_6bp,cspaced_property_l2,full CSP,600,147,0.3938888888888889
1.0,0.9705716222700377,0.9037940590289112,0.17213449070694828,0.43864702137172085,0.48874621785291794,1.0,75,substitution_1pct,spaced_count_l2,"spaced, no RC",600,256,0.22486979166666668
1.0,0.9760246900449836,0.919035470494464,0.1551412241415371,0.4024039443116742,0.3549852559788619,1.0,75,substitution_1pct,cspaced_count_l2,canonical spaced,600,136,0.3709313725490196
1.0,0.9967725422367999,0.9893418832577678,0.05685891112453534,0.14600079955538156,0.047465892902700244,1.0,75,substitution_1pct,cspaced_property_selected:hydrogen,canonical spaced + hydrogen,600,138,0.38004830917874394
1.0,0.9838435805158648,0.9466466044836992,0.12722128024443394,0.32666004668339654,0.23838654096797715,1.0,75,substitution_1pct,cspaced_property_selected:gc,canonical spaced + gc,600,138,0.38004830917874394
1.0,0.9839972110160056,0.9463595082754112,0.1267332329897807,0.3275377025844799,0.23696445045074607,1.0,75,substitution_1pct,cspaced_property_selected:purine,canonical spaced + purine,600,138,0.38004830917874394
1.0,0.9763664510830212,0.9201476596917627,0.15403146939977772,0.39963052752156447,0.3499383017751165,1.0,75,substitution_1pct,cspaced_property_selected:eiip,canonical spaced + eiip,600,138,0.38004830917874394
1.0,0.9760246900449836,0.919035470494464,0.1551412241415371,0.4024039443116742,0.3549852559788619,1.0,75,substitution_1pct,cspaced_property_selected:n_fraction,canonical spaced + n_fraction,600,137,0.3682238442822384
