fold,classifier,accuracy,macro_f1,n_features,n_train,n_test,n_train_groups,n_test_groups,length,representation,n_samples,n_groups,n_classes,label_control,permutation
2,nearest_centroid,0.25396825396825395,0.22913343965975544,222,225,63,25,7,50,ck4p_msp,288,32,3,within_source_permutation,2
3,contract_logistic,0.35185185185185186,0.3452380952380952,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,2
3,nearest_centroid,0.3333333333333333,0.32857142857142857,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,2
4,contract_logistic,0.3333333333333333,0.326984126984127,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,2
4,nearest_centroid,0.2777777777777778,0.2662936142198815,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,2
5,contract_logistic,0.3333333333333333,0.3237802641232575,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,2
5,nearest_centroid,0.35185185185185186,0.32051282051282054,222,234,54,26,6,50,ck4p_msp,288,32,3,within_source_permutation,2
1,contract_logistic,0.31746031746031744,0.3148148148148148,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,3
1,nearest_centroid,0.31746031746031744,0.3189488997999636,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,3
2,contract_logistic,0.4126984126984127,0.4115627822944896,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,3
2,nearest_centroid,0.42857142857142855,0.4177978883861237,136,225,63,25,7,50,ck4,288,32,3,within_source_permutation,3
3,contract_logistic,0.4074074074074074,0.3748412698412698,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,3
3,nearest_centroid,0.4074074074074074,0.39982054337113687,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,3
4,contract_logistic,0.2962962962962963,0.3012055117318275,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,3
4,nearest_centroid,0.25925925925925924,0.26064814814814813,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,3
5,contract_logistic,0.35185185185185186,0.36068376068376073,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,3
5,nearest_centroid,0.37037037037037035,0.36953465791342405,136,234,54,26,6,50,ck4,288,32,3,within_source_permutation,3
1,contract_logistic,0.31746031746031744,0.32087912087912085,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,3
1,nearest_centroid,0.30158730158730157,0.29098448293494733,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,3
2,contract_logistic,0.3968253968253968,0.39573643410852716,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,3
2,nearest_centroid,0.4126984126984127,0.405795888768025,397,225,63,25,7,50,ckmer5_count_l2,288,32,3,within_source_permutation,3
3,contract_logistic,0.37037037037037035,0.32051282051282054,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,3
3,nearest_centroid,0.37037037037037035,0.3551587301587302,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,3
4,contract_logistic,0.2962962962962963,0.3023809523809524,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,3
4,nearest_centroid,0.2777777777777778,0.28235294117647064,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,3
5,contract_logistic,0.2962962962962963,0.28553168553168556,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,3
5,nearest_centroid,0.37037037037037035,0.3394524959742351,397,234,54,26,6,50,ckmer5_count_l2,288,32,3,within_source_permutation,3
1,contract_logistic,0.3492063492063492,0.3455540560803719,11,225,63,25,7,50,p,288,32,3,within_source_permutation,3
1,nearest_centroid,0.3333333333333333,0.32796092796092796,11,225,63,25,7,50,p,288,32,3,within_source_permutation,3
2,contract_logistic,0.31746031746031744,0.2620840552667822,11,225,63,25,7,50,p,288,32,3,within_source_permutation,3
2,nearest_centroid,0.30158730158730157,0.25383449401638736,11,225,63,25,7,50,p,288,32,3,within_source_permutation,3
