fold,classifier,accuracy,macro_f1,n_features,n_train,n_test,n_train_groups,n_test_groups,length,representation,n_samples,n_groups,n_classes
2,nearest_centroid,0.6666666666666666,0.6666666666666666,136,225,54,25,6,150,ck4,279,31,3
3,contract_logistic,0.7222222222222222,0.7217635592248595,136,225,54,25,6,150,ck4,279,31,3
3,nearest_centroid,0.6481481481481481,0.6373548199767712,136,225,54,25,6,150,ck4,279,31,3
4,contract_logistic,0.7407407407407407,0.7434228486860066,136,225,54,25,6,150,ck4,279,31,3
4,nearest_centroid,0.5740740740740741,0.5784390159390159,136,225,54,25,6,150,ck4,279,31,3
5,contract_logistic,0.5925925925925926,0.5829994192799072,136,225,54,25,6,150,ck4,279,31,3
5,nearest_centroid,0.5,0.5002549483150234,136,225,54,25,6,150,ck4,279,31,3
1,contract_logistic,0.7619047619047619,0.7602487061659914,504,216,63,24,7,150,ckmer5_count_l2,279,31,3
1,nearest_centroid,0.6349206349206349,0.6405228758169934,504,216,63,24,7,150,ckmer5_count_l2,279,31,3
2,contract_logistic,0.7592592592592593,0.7407555911966498,504,225,54,25,6,150,ckmer5_count_l2,279,31,3
2,nearest_centroid,0.7222222222222222,0.7147721884563989,504,225,54,25,6,150,ckmer5_count_l2,279,31,3
3,contract_logistic,0.7222222222222222,0.7010310803414251,504,225,54,25,6,150,ckmer5_count_l2,279,31,3
3,nearest_centroid,0.7037037037037037,0.7002304247641407,504,225,54,25,6,150,ckmer5_count_l2,279,31,3
4,contract_logistic,0.7777777777777778,0.7735294117647059,504,225,54,25,6,150,ckmer5_count_l2,279,31,3
4,nearest_centroid,0.6111111111111112,0.6151127203758783,504,225,54,25,6,150,ckmer5_count_l2,279,31,3
5,contract_logistic,0.6296296296296297,0.6144039397383222,504,225,54,25,6,150,ckmer5_count_l2,279,31,3
5,nearest_centroid,0.5740740740740741,0.5690613690613691,504,225,54,25,6,150,ckmer5_count_l2,279,31,3
1,contract_logistic,0.3968253968253968,0.35605442176870755,11,216,63,24,7,150,p,279,31,3
1,nearest_centroid,0.4444444444444444,0.4391960349407158,11,216,63,24,7,150,p,279,31,3
2,contract_logistic,0.48148148148148145,0.3844155844155844,11,225,54,25,6,150,p,279,31,3
2,nearest_centroid,0.48148148148148145,0.4094744816165459,11,225,54,25,6,150,p,279,31,3
3,contract_logistic,0.5,0.4051282051282052,11,225,54,25,6,150,p,279,31,3
3,nearest_centroid,0.48148148148148145,0.4556732812546766,11,225,54,25,6,150,p,279,31,3
4,contract_logistic,0.46296296296296297,0.3669467787114846,11,225,54,25,6,150,p,279,31,3
4,nearest_centroid,0.42592592592592593,0.36470832684016413,11,225,54,25,6,150,p,279,31,3
5,contract_logistic,0.35185185185185186,0.2766531713900135,11,225,54,25,6,150,p,279,31,3
5,nearest_centroid,0.37037037037037035,0.36112989257005484,11,225,54,25,6,150,p,279,31,3
1,contract_logistic,0.42857142857142855,0.4156818181818182,75,216,63,24,7,150,msp,279,31,3
1,nearest_centroid,0.4126984126984127,0.401936026936027,75,216,63,24,7,150,msp,279,31,3
2,contract_logistic,0.42592592592592593,0.40740740740740744,75,225,54,25,6,150,msp,279,31,3
2,nearest_centroid,0.4444444444444444,0.43317572892040984,75,225,54,25,6,150,msp,279,31,3
3,contract_logistic,0.48148148148148145,0.48329156223893066,75,225,54,25,6,150,msp,279,31,3
3,nearest_centroid,0.48148148148148145,0.48329156223893066,75,225,54,25,6,150,msp,279,31,3
4,contract_logistic,0.5925925925925926,0.5859774212715388,75,225,54,25,6,150,msp,279,31,3
4,nearest_centroid,0.5740740740740741,0.570940170940171,75,225,54,25,6,150,msp,279,31,3
5,contract_logistic,0.3888888888888889,0.3850408850408851,75,225,54,25,6,150,msp,279,31,3
5,nearest_centroid,0.3888888888888889,0.38734402852049915,75,225,54,25,6,150,msp,279,31,3
1,contract_logistic,0.36507936507936506,0.34164107064501975,86,216,63,24,7,150,p_msp,279,31,3
1,nearest_centroid,0.3492063492063492,0.34240362811791386,86,216,63,24,7,150,p_msp,279,31,3
2,contract_logistic,0.46296296296296297,0.4480808080808081,86,225,54,25,6,150,p_msp,279,31,3
2,nearest_centroid,0.46296296296296297,0.4567518961607632,86,225,54,25,6,150,p_msp,279,31,3
3,contract_logistic,0.5185185185185185,0.518774465522433,86,225,54,25,6,150,p_msp,279,31,3
3,nearest_centroid,0.48148148148148145,0.4809941520467836,86,225,54,25,6,150,p_msp,279,31,3
4,contract_logistic,0.5370370370370371,0.5178571428571429,86,225,54,25,6,150,p_msp,279,31,3
4,nearest_centroid,0.5555555555555556,0.5426809918853982,86,225,54,25,6,150,p_msp,279,31,3
5,contract_logistic,0.3888888888888889,0.3730955035302861,86,225,54,25,6,150,p_msp,279,31,3
5,nearest_centroid,0.35185185185185186,0.34271284271284275,86,225,54,25,6,150,p_msp,279,31,3
1,contract_logistic,0.6825396825396826,0.6562118437118437,222,216,63,24,7,150,ck4p_msp,279,31,3
1,nearest_centroid,0.6507936507936508,0.6536922015182884,222,216,63,24,7,150,ck4p_msp,279,31,3
2,contract_logistic,0.7407407407407407,0.7242690058479533,222,225,54,25,6,150,ck4p_msp,279,31,3
2,nearest_centroid,0.6851851851851852,0.6865293865293866,222,225,54,25,6,150,ck4p_msp,279,31,3
3,contract_logistic,0.7037037037037037,0.6914648716379638,222,225,54,25,6,150,ck4p_msp,279,31,3
3,nearest_centroid,0.6481481481481481,0.6373548199767712,222,225,54,25,6,150,ck4p_msp,279,31,3
4,contract_logistic,0.6481481481481481,0.6294880246099759,222,225,54,25,6,150,ck4p_msp,279,31,3
4,nearest_centroid,0.5740740740740741,0.5784390159390159,222,225,54,25,6,150,ck4p_msp,279,31,3
5,contract_logistic,0.5925925925925926,0.5829994192799072,222,225,54,25,6,150,ck4p_msp,279,31,3
5,nearest_centroid,0.5185185185185185,0.5170922475270302,222,225,54,25,6,150,ck4p_msp,279,31,3
