family,parameter,k,pattern,canonical,add_property,length,condition,n,observed_vocab_size,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,100,substitution_1pct,120,136,0.9769754121165367,0.9319603680727061,0.1625686876564986,0.3688890121702747
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,100,substitution_1pct,120,147,0.9975677745533227,0.9927301861869483,0.052893612560244205,0.12057941863049704
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,100,substitution_1pct,120,136,0.9776382175796834,0.9341697088044002,0.15979840106351825,0.362850629378216
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,100,substitution_1pct,120,147,0.9976302206036866,0.9926793090795676,0.05203495795480896,0.12100157767708336
k-mer,k=4,4,,False,False,125,reverse_complement,120,256,0.4205806303459592,0.22722772277227715,1.0700650856780067,1.2431981173178233
k-mer,k=5,5,,False,False,125,reverse_complement,120,1024,0.18729197648241425,0.05128789716226047,1.2722471465615213,1.377469836766013
k-mer,k=6,6,,False,False,125,reverse_complement,120,3794,0.0802695417441782,0.008139393576478618,1.3553372198607683,1.4084463826154108
k-mer,k=7,7,,False,False,125,reverse_complement,120,8715,0.03477107119384903,0.0,1.3889833689215003,1.414213562373096
canonical k-mer,k=4,4,,True,False,125,reverse_complement,120,136,1.0000000000000002,0.9999999999999992,0.0,0.0
canonical k-mer,k=5,5,,True,False,125,reverse_complement,120,512,1.0,0.999999999999998,0.0,0.0
canonical k-mer,k=6,6,,True,False,125,reverse_complement,120,2044,1.0000000000000004,0.9999999999999984,0.0,0.0
canonical k-mer,k=7,7,,True,False,125,reverse_complement,120,6111,1.0000000000000002,0.999999999999998,0.0,0.0
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,125,reverse_complement,120,136,1.0000000000000002,0.9999999999999992,0.0,0.0
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,125,reverse_complement,120,147,0.9994632772870495,0.9982938685141592,0.02635559243449562,0.058318620858984815
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,125,reverse_complement,120,136,1.0000000000000002,0.9999999999999991,0.0,0.0
canonical spaced + property,pattern=0-2-4-6,4,0-2-4-6,True,True,125,reverse_complement,120,147,0.9994632772870495,0.9982938685141594,0.02635559243449562,0.058318620858984815
canonical spaced,pattern=0-1-3-6,4,0-1-3-6,True,False,125,reverse_complement,120,136,0.6145214739187683,0.4811134846782429,0.8709645108620522,1.0187084683552463
canonical spaced + property,pattern=0-1-3-6,4,0-1-3-6,True,True,125,reverse_complement,120,147,0.959871167217201,0.9470114503704771,0.2811024445909285,0.32554106432412566
k-mer,k=4,4,,False,False,125,N_3pct,120,256,0.962698269910119,0.9470307300402672,0.27123218952484635,0.3254804662421827
k-mer,k=5,5,,False,False,125,N_3pct,120,1024,0.934912426727323,0.9191584434883036,0.35946767153550546,0.40209787693963245
k-mer,k=6,6,,False,False,125,N_3pct,120,3794,0.9107718135057117,0.8945991796931703,0.42124569517249183,0.45913139798282193
k-mer,k=7,7,,False,False,125,N_3pct,120,8715,0.8909988125279228,0.8744746321952076,0.46552583234056116,0.5010496338783094
canonical k-mer,k=4,4,,True,False,125,N_3pct,120,136,0.9712710750674354,0.9562067442164062,0.237202902607519,0.29594806762424786
canonical k-mer,k=5,5,,True,False,125,N_3pct,120,512,0.9421988757116976,0.9241588138031314,0.33780248461928364,0.3894550671487318
canonical k-mer,k=6,6,,True,False,125,N_3pct,120,2044,0.9147100374386596,0.8979380926036945,0.41158290501489864,0.4517998370243264
canonical k-mer,k=7,7,,True,False,125,N_3pct,120,6111,0.8924393846589967,0.8718266572630674,0.462242759375803,0.5063069079352347
canonical spaced,pattern=0-1-2-3,4,0-1-2-3,True,False,125,N_3pct,120,136,0.9712710750674354,0.9562067442164062,0.237202902607519,0.29594806762424786
canonical spaced + property,pattern=0-1-2-3,4,0-1-2-3,True,True,125,N_3pct,120,147,0.9949574045555567,0.9934844244993773,0.10011646131870386,0.11415402521603922
canonical spaced,pattern=0-2-4-6,4,0-2-4-6,True,False,125,N_3pct,120,136,0.9697946347251574,0.9584614790881466,0.24405651771844517,0.2882308619288182
