representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer4_property_l2,logistic,84,2,146,0.6923076923076923,0.6090225563909775,target_background,Candida,69,clean,target_binary
ckmer4_property_moment_l2,nearest_centroid,84,2,186,0.6538461538461539,0.6267942583732058,target_background,Candida,69,clean,target_binary
ckmer4_property_moment_l2,logistic,84,2,186,0.6923076923076923,0.6090225563909775,target_background,Candida,69,clean,target_binary
ckmer4_property_multiscale_mean_l2,nearest_centroid,84,2,221,0.6923076923076923,0.6601307189542484,target_background,Candida,69,clean,target_binary
ckmer4_property_multiscale_mean_l2,logistic,84,2,221,0.6923076923076923,0.5666666666666667,target_background,Candida,69,clean,target_binary
ckmer4_property_multiscale_l2,nearest_centroid,84,2,296,0.6923076923076923,0.6601307189542484,target_background,Candida,69,clean,target_binary
ckmer4_property_multiscale_l2,logistic,84,2,296,0.5769230769230769,0.48468468468468473,target_background,Candida,69,clean,target_binary
ckmer4_property_anchor_l2,nearest_centroid,84,2,224,0.6923076923076923,0.6601307189542484,target_background,Candida,69,clean,target_binary
ckmer4_property_anchor_l2,logistic,84,2,224,0.8076923076923077,0.7435897435897436,target_background,Candida,69,clean,target_binary
ckmer5_count_l2,nearest_centroid,84,2,499,0.6153846153846154,0.38095238095238093,target_background,Candida,69,clean,target_binary
ckmer5_count_l2,logistic,84,2,499,0.6923076923076923,0.4090909090909091,target_background,Candida,69,clean,target_binary
ckmer5_property_moment_l2,nearest_centroid,84,2,537,0.6538461538461539,0.48115299334811534,target_background,Candida,69,clean,target_binary
ckmer5_property_moment_l2,logistic,84,2,537,0.6923076923076923,0.4090909090909091,target_background,Candida,69,clean,target_binary
ckmer5_property_multiscale_l2,nearest_centroid,84,2,647,0.6153846153846154,0.4583333333333333,target_background,Candida,69,clean,target_binary
ckmer5_property_multiscale_l2,logistic,84,2,647,0.6538461538461539,0.3953488372093023,target_background,Candida,69,clean,target_binary
ckmer5_property_anchor_l2,nearest_centroid,84,2,575,0.6153846153846154,0.4583333333333333,target_background,Candida,69,clean,target_binary
ckmer5_property_anchor_l2,logistic,84,2,575,0.7692307692307693,0.5568181818181819,target_background,Candida,69,clean,target_binary
cspaced_property_l2,nearest_centroid,84,2,147,0.6153846153846154,0.4583333333333333,target_background,Candida,69,clean,target_binary
cspaced_property_l2,logistic,84,2,147,0.7307692307692307,0.5964523281596452,target_background,Candida,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_l2,nearest_centroid,84,2,645,0.6153846153846154,0.38095238095238093,target_background,Candida,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_l2,logistic,84,2,645,0.7307692307692307,0.5297157622739018,target_background,Candida,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,nearest_centroid,84,2,685,0.6153846153846154,0.38095238095238093,target_background,Candida,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_moment_l2,logistic,84,2,685,0.7307692307692307,0.5297157622739018,target_background,Candida,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,nearest_centroid,84,2,795,0.6153846153846154,0.38095238095238093,target_background,Candida,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_multiscale_l2,logistic,84,2,795,0.6923076923076923,0.5047619047619047,target_background,Candida,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,nearest_centroid,84,2,723,0.6153846153846154,0.38095238095238093,target_background,Candida,69,clean,target_binary
hybrid:ckmer5_count_l2+ckmer4_property_anchor_l2,logistic,84,2,723,0.7692307692307693,0.6285714285714286,target_background,Candida,69,clean,target_binary
ckmer4_count_l2,nearest_centroid,151,5,135,0.2391304347826087,0.2325814536340852,within_genus_species,Enterobacter,69,clean,label
ckmer4_count_l2,logistic,151,5,135,0.2391304347826087,0.20964102564102566,within_genus_species,Enterobacter,69,clean,label
ckmer4_property_l2,nearest_centroid,151,5,146,0.2391304347826087,0.23374840262712113,within_genus_species,Enterobacter,69,clean,label
ckmer4_property_l2,logistic,151,5,146,0.2608695652173913,0.244981684981685,within_genus_species,Enterobacter,69,clean,label
ckmer4_property_moment_l2,nearest_centroid,151,5,186,0.2608695652173913,0.25384094166702864,within_genus_species,Enterobacter,69,clean,label
ckmer4_property_moment_l2,logistic,151,5,186,0.2608695652173913,0.22979242979242978,within_genus_species,Enterobacter,69,clean,label
ckmer4_property_multiscale_mean_l2,nearest_centroid,151,5,221,0.2391304347826087,0.23374840262712113,within_genus_species,Enterobacter,69,clean,label
ckmer4_property_multiscale_mean_l2,logistic,151,5,221,0.3695652173913043,0.3438383838383839,within_genus_species,Enterobacter,69,clean,label
