representation,representation_label,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ckmer4_property_l2,CK4+P,nearest_centroid,73,2,146,0.36363636363636365,0.36363636363636365,target_background,Candida,69,substitution_1pct,target_binary
ckmer4_property_l2,CK4+P,logistic,73,2,146,0.3181818181818182,0.30526315789473685,target_background,Candida,69,substitution_1pct,target_binary
ck4p_msp,CK4P-MSP,nearest_centroid,73,2,222,0.36363636363636365,0.36363636363636365,target_background,Candida,69,substitution_1pct,target_binary
ck4p_msp,CK4P-MSP,logistic,73,2,222,0.45454545454545453,0.4358974358974359,target_background,Candida,69,substitution_1pct,target_binary
hash_k15_d222,"Hashed k=15, d=222",nearest_centroid,73,2,222,0.4090909090909091,0.4078674948240165,target_background,Candida,69,substitution_1pct,target_binary
hash_k15_d222,"Hashed k=15, d=222",logistic,73,2,222,0.45454545454545453,0.45454545454545453,target_background,Candida,69,substitution_1pct,target_binary
rp_ck15_d222,"CK15 random projection, d=222",nearest_centroid,73,2,222,0.5454545454545454,0.35294117647058826,target_background,Candida,69,substitution_1pct,target_binary
rp_ck15_d222,"CK15 random projection, d=222",logistic,73,2,222,0.5454545454545454,0.35294117647058826,target_background,Candida,69,substitution_1pct,target_binary
ckmer4_count_l2,CK4,nearest_centroid,147,5,135,0.26666666666666666,0.2446115288220551,within_genus_species,Enterobacter,69,substitution_1pct,label
ckmer4_count_l2,CK4,logistic,147,5,135,0.24444444444444444,0.2233577870507471,within_genus_species,Enterobacter,69,substitution_1pct,label
ckmer5_count_l2,CK5,nearest_centroid,147,5,507,0.2222222222222222,0.20200501253132833,within_genus_species,Enterobacter,69,substitution_1pct,label
ckmer5_count_l2,CK5,logistic,147,5,507,0.26666666666666666,0.24455624355005162,within_genus_species,Enterobacter,69,substitution_1pct,label
ckmer4_property_l2,CK4+P,nearest_centroid,147,5,146,0.26666666666666666,0.2425062656641604,within_genus_species,Enterobacter,69,substitution_1pct,label
ckmer4_property_l2,CK4+P,logistic,147,5,146,0.2222222222222222,0.19146997929606624,within_genus_species,Enterobacter,69,substitution_1pct,label
