length,condition,omitted_p_group,n_pairs,p_features_remaining,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
100,local_mismatch_6bp,n_fraction,250,10,1.0,0.977945257513044,0.9696485553286516,0.20856383937550965,0.246379532437702,0.14434026932261718,1.0
100,local_mismatch_6bp,scaled_length,250,10,1.0,0.9779449512156768,0.9696474818268764,0.20856530297819081,0.2463838871411115,0.1443451119783727,1.0
100,local_mismatch_6bp,entropy,250,10,1.0,0.9779458524178523,0.969647501347326,0.2085604470510735,0.24638380388880074,0.14434496396425078,1.0
100,short_indel,none,250,11,1.0,0.9941456313598623,0.980288992922483,0.07910457607888816,0.19854976493049203,0.15751014571127217,1.0
100,short_indel,hydrogen,250,9,1.0,0.9941398349987198,0.9802758386515379,0.07914768086710978,0.19861599753743506,0.15837836352178572,1.0
100,short_indel,gc,250,9,1.0,0.9941460958121984,0.9802902380526606,0.07910130738804458,0.19854349591567916,0.15742221949779112,1.0
100,short_indel,purine,250,9,1.0,0.9941462375663671,0.9802894608047601,0.0791000341154125,0.198547409329996,0.15732975001009206,1.0
100,short_indel,eiip,250,9,1.0,0.9941456327650331,0.9802890212001978,0.07910456706755277,0.19854962255683675,0.15750963411214072,1.0
100,short_indel,n_fraction,250,10,1.0,0.9941456313598623,0.980288992922483,0.07910457607888816,0.19854976493049203,0.15751014571127217,1.0
100,short_indel,scaled_length,250,10,1.0,0.9941462318491052,0.9802911310480447,0.07910000639115639,0.19853899469632483,0.15751524051614654,1.0
100,short_indel,entropy,250,10,1.0,0.9941455745785807,0.9802888453084573,0.07910498949633954,0.19855050848517888,0.15751154067185824,1.0
150,substitution_1pct,none,250,11,1.0,0.992576755789911,0.9824585751538394,0.10515574884916745,0.18730247331479183,0.1288733342625955,1.0
150,substitution_1pct,hydrogen,250,9,1.0,0.9925702427217231,0.9824463529534011,0.10520813325058623,0.1873674572408557,0.1293985142025265,1.0
150,substitution_1pct,gc,250,9,1.0,0.9925775655429782,0.9824607245422071,0.10515018677778311,0.18729104112415806,0.12882504815692322,1.0
150,substitution_1pct,purine,250,9,1.0,0.9925780134939071,0.9824604116809956,0.10514028460951995,0.18729270525602484,0.12872638150819657,1.0
150,substitution_1pct,eiip,250,9,1.0,0.9925767604821433,0.9824585964041306,0.10515570370326845,0.18730236020350705,0.12887313361524574,1.0
150,substitution_1pct,n_fraction,250,10,1.0,0.992576755789911,0.9824585751538394,0.10515574884916745,0.18730247331479183,0.1288733342625955,1.0
150,substitution_1pct,scaled_length,250,10,1.0,0.9925766797173332,0.9824587390704353,0.10515657442105274,0.1873016015262169,0.12888322941986913,1.0
150,substitution_1pct,entropy,250,10,1.0,0.9925767626082511,0.982458180455935,0.10515595306926631,0.1873045724784916,0.1288810022015836,1.0
150,N_3pct,none,250,11,1.0,0.9884656925523829,0.98361575682928,0.1510254558236952,0.18102026082156458,0.12897243299059385,1.0
150,N_3pct,hydrogen,250,9,1.0,0.9888716608599241,0.9840263686360512,0.14826171602223734,0.17873696359574812,0.12943306702553772,1.0
150,N_3pct,gc,250,9,1.0,0.9884228874518107,0.9835781496991411,0.15131336284372549,0.18122800121785257,0.1289219569036141,1.0
150,N_3pct,purine,250,9,1.0,0.9884232828623051,0.9835675239775217,0.15131029333807014,0.18128645571122778,0.12885986743133504,1.0
150,N_3pct,eiip,250,9,1.0,0.9884660825626277,0.9836162046576291,0.15102284542195668,0.18101779053798933,0.1289721100264651,1.0
150,N_3pct,n_fraction,250,10,1.0,0.9884863727766856,0.9836365393547761,0.15088687906108766,0.18090543142130702,0.12897244380578085,1.0
150,N_3pct,scaled_length,250,10,1.0,0.988410805221149,0.9835617221423667,0.15139367463045955,0.18131851631059343,0.12898389330677215,1.0
150,N_3pct,entropy,250,10,1.0,0.9885108736751008,0.9836639740190658,0.1507226647629976,0.1807537229126002,0.12896526882168802,1.0
150,trim_5bp,none,250,11,1.0,0.996490390716362,0.9951629262040192,0.08301718705854905,0.09835500482656709,0.13260643800546723,1.0
150,trim_5bp,hydrogen,250,9,1.0,0.9964471421201105,0.9951245470431526,0.08354177712374958,0.09874416717479022,0.13318182014651916,1.0
150,trim_5bp,gc,250,9,1.0,0.9964906738201037,0.9951627052573768,0.08301381182889155,0.0983572579351401,0.13255345173102973,1.0
150,trim_5bp,purine,250,9,1.0,0.9964911444312966,0.9951624972584495,0.08300833267105724,0.09835933860417398,0.13245901634985174,1.0
150,trim_5bp,eiip,250,9,1.0,0.9964903702519602,0.995162896063378,0.08301743734194851,0.09835531139804066,0.13260620786271493,1.0
150,trim_5bp,n_fraction,250,10,1.0,0.996490390716362,0.9951629262040194,0.08301718705854905,0.09835500482656707,0.13260643800546723,1.0
150,trim_5bp,scaled_length,250,10,1.0,0.9965069179939694,0.9951804720467323,0.08281505959902336,0.09817646490902486,0.13261240904265803,1.0
150,trim_5bp,entropy,250,10,1.0,0.9964890023157059,0.9951614701911531,0.08303396003805398,0.09836980042575288,0.1326140245738463,1.0
150,substitution_1pct_N_3pct,none,250,11,1.0,0.9797566012360962,0.9665709170539927,0.19714097215309456,0.2585669125406811,0.12056995518153373,1.0
150,substitution_1pct_N_3pct,hydrogen,250,9,1.0,0.9801583042978013,0.9670171003305843,0.19498322036417048,0.25683566490610765,0.12104886531004296,1.0
150,substitution_1pct_N_3pct,gc,250,9,1.0,0.9797151951369599,0.9665226179198453,0.19736189184281563,0.2587535565365509,0.12052154917891912,1.0
150,substitution_1pct_N_3pct,purine,250,9,1.0,0.9797139033257368,0.9665306047653703,0.19736809864208077,0.2587227926488908,0.12045440430368203,1.0
150,substitution_1pct_N_3pct,eiip,250,9,1.0,0.9797569921870912,0.9665713509707438,0.197138890474566,0.2585652326478187,0.12056966912285201,1.0
150,substitution_1pct_N_3pct,n_fraction,250,10,1.0,0.9797772929306042,0.9665906361144412,0.19703135166997512,0.25849062444956533,0.12056996595049148,1.0
150,substitution_1pct_N_3pct,scaled_length,250,10,1.0,0.9797012291931577,0.9665205453461648,0.1974349955860534,0.25876165671464424,0.12058156368326198,1.0
150,substitution_1pct_N_3pct,entropy,250,10,1.0,0.97980429326319,0.9666009213105045,0.19688862784305614,0.2584508112621807,0.12056528214896375,1.0
150,local_mismatch_6bp,none,250,11,1.0,0.9878203896523371,0.9841394744896652,0.1550030861885791,0.17810382799944524,0.12440375241720213,1.0
150,local_mismatch_6bp,hydrogen,250,9,1.0,0.9877900661469246,0.9841319029219008,0.15520083029010717,0.17814637279761933,0.1249294360488141,1.0
150,local_mismatch_6bp,gc,250,9,1.0,0.9878247826686672,0.9841417077194997,0.15497452388017796,0.17809127578368333,0.12435586640313,1.0
150,local_mismatch_6bp,purine,250,9,1.0,0.9878256290029307,0.984139532694582,0.15496886161409823,0.17810350048886867,0.12425526759149531,1.0
150,local_mismatch_6bp,eiip,250,9,1.0,0.9878204093189563,0.984139482220419,0.1550029547268863,0.178103784517577,0.12440353563478897,1.0
150,local_mismatch_6bp,n_fraction,250,10,1.0,0.9878203896523371,0.9841394744896653,0.1550030861885791,0.17810382799944527,0.12440375241720213,1.0
150,local_mismatch_6bp,scaled_length,250,10,1.0,0.9878200791567957,0.9841395390576925,0.15500510407825374,0.1781034646876842,0.12441323969890622,1.0
150,local_mismatch_6bp,entropy,250,10,1.0,0.987820439059399,0.9841394516965281,0.15500266718782676,0.17810395879133664,0.12441080567755383,1.0
150,short_indel,none,250,11,1.0,0.9943993862667742,0.9855500308968589,0.09058437639157212,0.16999968054505868,0.1296767624738662,1.0
150,short_indel,hydrogen,250,9,1.0,0.9943946508873571,0.9855410864649119,0.09062557638969782,0.1700523378987219,0.13020321915605565,1.0
150,short_indel,gc,250,9,1.0,0.9943997495768963,0.9855503250172472,0.09058144794281958,0.16999794879015862,0.12962797741943816,1.0
150,short_indel,purine,250,9,1.0,0.9943998159733667,0.9855519291650877,0.09058074322405593,0.16998849949190004,0.12953862738088728,1.0
150,short_indel,eiip,250,9,1.0,0.9943993868377339,0.9855500344280461,0.09058437278555757,0.16999965977476106,0.12967652425442863,1.0
