length,condition,representation,n_pairs,n_features,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,local_mismatch_6bp,P_train_zscore,250,11,0.236,0.9411484804721992,0.8053368544480721,0.28752974310245677,0.6237039361395919,-0.031402174928334366,0.236
75,local_mismatch_6bp,P_unit_range,250,11,0.184,0.999460686408225,0.9984615971745686,0.029227480476601116,0.05546881543315969,-0.0002819802247802761,0.18
75,local_mismatch_6bp,MSP_declared,250,75,0.92,0.9993153503695578,0.9978750273697842,0.03337583647644942,0.0651906416330021,0.0011016355015921557,0.92
75,local_mismatch_6bp,MSP_train_zscore,250,75,0.908,0.9089896460730401,0.7182171939246765,0.3860604929669914,0.7503995065578263,0.1536954306995861,0.908
75,local_mismatch_6bp,MSP_unit_range,250,75,0.94,0.9954051405861104,0.986138629508011,0.0871893826896154,0.16650145392193416,0.008196626680680323,0.94
75,local_mismatch_6bp,CK4+P_declared,250,147,1.0,0.9647826507127096,0.9524088301353145,0.2635004298478197,0.3085157903960767,0.15702707577019412,1.0
75,local_mismatch_6bp,CK4+P_property_only,250,144,1.0,0.9647829677820223,0.9524067937418069,0.2634984492514027,0.30852240124773506,0.15702932852356286,1.0
75,local_mismatch_6bp,CK4+P_auxiliary_only,250,139,1.0,0.9648281729289382,0.9524371312603706,0.26332581936058547,0.30842393415826985,0.15668475090527162,1.0
75,local_mismatch_6bp,CK4+P_train_zscore,250,147,0.988,0.9354108727851801,0.8583652517652736,0.3447302891165934,0.5321620907122954,0.18197400322532636,0.988
75,local_mismatch_6bp,CK4+P_unit_range,250,147,1.0,0.964566975753193,0.9522340905244067,0.2643306187706581,0.3090814252069601,0.15850504579569685,1.0
75,local_mismatch_6bp,CK4P-MSP_declared,250,222,1.0,0.9762935505983258,0.9681588283768162,0.21621365264408735,0.25235351490186136,0.10635642802497841,1.0
75,local_mismatch_6bp,CK4P-MSP_property_only,250,219,1.0,0.9762937619778674,0.9681574707811442,0.21621205226898746,0.2523588983270793,0.10635757900718004,1.0
75,local_mismatch_6bp,CK4P-MSP_auxiliary_only,250,214,1.0,0.9763238987424782,0.9681776957935202,0.2160725194691036,0.2522786958814743,0.10613300164457952,1.0
