representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,length,condition,label_col
ckmer4_property_moment_l2,mlp,2252,30,187,0.2485207100591716,0.22868888071995447,label_probe,75,N_3pct,label
ckmer5_count_l2,nearest_centroid,2252,30,512,0.29289940828402367,0.27620081669004215,label_probe,75,N_3pct,label
ckmer5_count_l2,logistic,2252,30,512,0.23076923076923078,0.21917759842490867,label_probe,75,N_3pct,label
ckmer5_count_l2,mlp,2252,30,512,0.20414201183431951,0.1884439430316078,label_probe,75,N_3pct,label
ckmer5_property_multiscale_l2,nearest_centroid,2252,30,673,0.2943786982248521,0.27653877105403996,label_probe,75,N_3pct,label
ckmer5_property_multiscale_l2,logistic,2252,30,673,0.2411242603550296,0.22468247774193556,label_probe,75,N_3pct,label
ckmer5_property_multiscale_l2,mlp,2252,30,673,0.22041420118343194,0.20725302096383244,label_probe,75,N_3pct,label
cspaced_property_l2,nearest_centroid,2252,30,147,0.1804733727810651,0.16392206642703339,label_probe,75,N_3pct,label
cspaced_property_l2,logistic,2252,30,147,0.14053254437869822,0.13360660171488223,label_probe,75,N_3pct,label
cspaced_property_l2,mlp,2252,30,147,0.10355029585798817,0.08332587566625807,label_probe,75,N_3pct,label
ckmer4_count_l2,nearest_centroid,160,2,136,0.75,0.7428571428571429,target_background,75,N_3pct,target_binary
ckmer4_count_l2,logistic,160,2,136,0.7916666666666666,0.7902097902097902,target_background,75,N_3pct,target_binary
ckmer4_count_l2,mlp,160,2,136,0.75,0.7495652173913043,target_background,75,N_3pct,target_binary
ckmer4_property_l2,nearest_centroid,160,2,147,0.7708333333333334,0.7658536585365854,target_background,75,N_3pct,target_binary
ckmer4_property_l2,logistic,160,2,147,0.7916666666666666,0.7902097902097902,target_background,75,N_3pct,target_binary
ckmer4_property_l2,mlp,160,2,147,0.7916666666666666,0.7916666666666666,target_background,75,N_3pct,target_binary
ckmer4_property_multiscale_mean_l2,nearest_centroid,160,2,222,0.7708333333333334,0.7658536585365854,target_background,75,N_3pct,target_binary
ckmer4_property_multiscale_mean_l2,logistic,160,2,222,0.7708333333333334,0.7707338254450716,target_background,75,N_3pct,target_binary
ckmer4_property_multiscale_mean_l2,mlp,160,2,222,0.75,0.7428571428571429,target_background,75,N_3pct,target_binary
ckmer4_property_multiscale_l2,nearest_centroid,160,2,297,0.7708333333333334,0.7658536585365854,target_background,75,N_3pct,target_binary
ckmer4_property_multiscale_l2,logistic,160,2,297,0.7708333333333334,0.7707338254450716,target_background,75,N_3pct,target_binary
ckmer4_property_multiscale_l2,mlp,160,2,297,0.7708333333333334,0.7683194383501536,target_background,75,N_3pct,target_binary
ckmer4_property_moment_l2,nearest_centroid,160,2,187,0.7708333333333334,0.7658536585365854,target_background,75,N_3pct,target_binary
ckmer4_property_moment_l2,logistic,160,2,187,0.7708333333333334,0.7683194383501536,target_background,75,N_3pct,target_binary
ckmer4_property_moment_l2,mlp,160,2,187,0.7708333333333334,0.7699346405228757,target_background,75,N_3pct,target_binary
ckmer5_count_l2,nearest_centroid,160,2,511,0.75,0.7386569872958257,target_background,75,N_3pct,target_binary
ckmer5_count_l2,logistic,160,2,511,0.75,0.7482517482517483,target_background,75,N_3pct,target_binary
ckmer5_count_l2,mlp,160,2,511,0.7083333333333334,0.6888888888888889,target_background,75,N_3pct,target_binary
ckmer5_property_multiscale_l2,nearest_centroid,160,2,672,0.7291666666666666,0.7192982456140351,target_background,75,N_3pct,target_binary
ckmer5_property_multiscale_l2,logistic,160,2,672,0.8333333333333334,0.8330434782608696,target_background,75,N_3pct,target_binary
ckmer5_property_multiscale_l2,mlp,160,2,672,0.8333333333333334,0.8321678321678322,target_background,75,N_3pct,target_binary
cspaced_property_l2,nearest_centroid,160,2,147,0.7291666666666666,0.7232815964523283,target_background,75,N_3pct,target_binary
