split,classifier,accuracy,macro_f1,length,local_mode,representation,n_samples,n_features,accuracy_std,macro_f1_std,mutation_fraction
5fold_grouped_cv,nearest_centroid,0.7388888888888889,0.737335233704697,150,jittered,ck4p_msp,360,222,0.03333333333333332,0.03220241018548148,0.01
5fold_grouped_cv,logistic,0.8777777777777779,0.8773178440805645,150,jittered,ck4p_msp,360,222,0.04843221048378528,0.048662049446751995,0.01
holdout,nearest_centroid,0.7166666666666667,0.7163515016685206,150,left,ck4,360,136,,,0.01
holdout,logistic,0.775,0.7748592870544091,150,left,ck4,360,136,,,0.01
5fold_grouped_cv,nearest_centroid,0.7861111111111111,0.7846298388833155,150,left,ck4,360,136,0.03685138655950443,0.03758629395987392,0.01
5fold_grouped_cv,logistic,0.8333333333333334,0.8331960059375942,150,left,ck4,360,136,0.03167153958608714,0.03167396146575963,0.01
holdout,nearest_centroid,0.7166666666666667,0.7163515016685206,150,left,ck4_p,360,147,,,0.01
holdout,logistic,0.8083333333333333,0.8082134667500521,150,left,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.7861111111111111,0.7846298388833155,150,left,ck4_p,360,147,0.03685138655950443,0.03758629395987392,0.01
5fold_grouped_cv,logistic,0.8416666666666666,0.8413077263784595,150,left,ck4_p,360,147,0.028598972613852757,0.02859216907622684,0.01
holdout,nearest_centroid,0.75,0.7499305362600722,150,left,ck4_msp,360,211,,,0.01
holdout,logistic,0.9916666666666667,0.9916660879227724,150,left,ck4_msp,360,211,,,0.01
5fold_grouped_cv,nearest_centroid,0.8138888888888889,0.8127492967369679,150,left,ck4_msp,360,211,0.04356774205932811,0.044039534128599504,0.01
5fold_grouped_cv,logistic,0.986111111111111,0.9861019951623848,150,left,ck4_msp,360,211,0.012422599874998837,0.012432193032727346,0.01
holdout,nearest_centroid,0.75,0.7499305362600722,150,left,ck4p_msp,360,222,,,0.01
holdout,logistic,0.9916666666666667,0.9916660879227724,150,left,ck4p_msp,360,222,,,0.01
5fold_grouped_cv,nearest_centroid,0.8138888888888889,0.8127492967369679,150,left,ck4p_msp,360,222,0.04356774205932811,0.044039534128599504,0.01
5fold_grouped_cv,logistic,0.9888888888888889,0.9888835270043064,150,left,ck4p_msp,360,222,0.010393492741038726,0.010400659235583804,0.01
holdout,nearest_centroid,0.75,0.7488839285714286,150,right,ck4,360,136,,,0.01
holdout,logistic,0.775,0.7749843739148552,150,right,ck4,360,136,,,0.01
5fold_grouped_cv,nearest_centroid,0.7194444444444444,0.7178445042859651,150,right,ck4,360,136,0.0752567621341337,0.07668550380760994,0.01
5fold_grouped_cv,logistic,0.7055555555555555,0.7047284033813312,150,right,ck4,360,136,0.032155102507750624,0.032420489165265416,0.01
holdout,nearest_centroid,0.75,0.7488839285714286,150,right,ck4_p,360,147,,,0.01
holdout,logistic,0.775,0.7748592870544091,150,right,ck4_p,360,147,,,0.01
5fold_grouped_cv,nearest_centroid,0.7194444444444444,0.7178445042859651,150,right,ck4_p,360,147,0.0752567621341337,0.07668550380760994,0.01
5fold_grouped_cv,logistic,0.736111111111111,0.7355212068255548,150,right,ck4_p,360,147,0.041201102706087026,0.041603218484181394,0.01
holdout,nearest_centroid,0.7666666666666667,0.765625,150,right,ck4_msp,360,211,,,0.01
holdout,logistic,0.9666666666666667,0.9666295884315907,150,right,ck4_msp,360,211,,,0.01
5fold_grouped_cv,nearest_centroid,0.7305555555555555,0.7282871456448208,150,right,ck4_msp,360,211,0.06724288020505667,0.0691272443645528,0.01
5fold_grouped_cv,logistic,0.9694444444444444,0.9693805232722497,150,right,ck4_msp,360,211,0.020412414523193156,0.020469900909452436,0.01
