length,local_mode,representation,noise_l2_mean,local_l2_mean,local_minus_noise_l2_mean,local_minus_noise_l2_ci_low,local_minus_noise_l2_ci_high,selective_sensitivity_ratio_mean,selective_sensitivity_ratio_ci_low,selective_sensitivity_ratio_ci_high,noise_cosine_mean,local_cosine_mean,n_features,density,avg_nnz_per_read,n_triplets,mutation_fraction
150,right,ck4_p,0.15502536090072497,0.12454393331692346,-0.03048142758380152,-0.03430534345636123,-0.02697616549160746,0.8133904883510801,0.7896117518523668,0.8356050315436291,0.9878501294483844,0.9920400449929194,147,0.6713025951121189,98.68148148148148,180,0.01
150,right,ck4_msp,0.15517255030863414,0.12490223454176336,-0.03027031576687081,-0.034050223858698006,-0.026820281808365827,0.8149066326201423,0.7916148014051945,0.8368142314080342,0.9878275904412647,0.9920075867417532,211,0.7046515710022819,148.68148148148148,180,0.01
150,right,ck4p_msp,0.1267167712006349,0.10202397747598775,-0.02469279372464716,-0.027778088459092423,-0.02188127744072387,0.8151114939550679,0.7919401337628191,0.8369995910800738,0.9918826711905154,0.994668444287845,222,0.7147814481147815,158.68148148148148,180,0.01
69,center,ck4,0.3851775253154153,0.31786157358376493,-0.06731595173165042,-0.07437860798282026,-0.06072253781224636,0.8367086922198559,0.8200318668481307,0.8540843257267305,0.9248015542196506,0.9491577756701446,136,0.3800925925925926,51.69259259259259,180,0.03
69,center,ck4_p,0.27242297395393517,0.2248689644603738,-0.04755400949356139,-0.052555949045296334,-0.042894044618912004,0.8369118472663147,0.820228976571534,0.854306700681871,0.9623841982253218,0.9745547664578873,147,0.4196775006298816,61.69259259259259,180,0.03
69,center,ck4_msp,0.2728043122088261,0.22556465530643593,-0.04723965690239026,-0.05222828634353609,-0.0425912795212009,0.8382412884737543,0.8216114850072028,0.8555942931358741,0.9622822398922586,0.974399504322718,211,0.5292961207653151,111.68148148148148,180,0.03
69,center,ck4p_msp,0.22279377273151124,0.1842597295291484,-0.038534043202362894,-0.04260607356482345,-0.03474522113795218,0.838442823399932,0.8218069150036464,0.8558149716320256,0.9748437740051704,0.9829169219636886,222,0.5481147814481148,121.68148148148148,180,0.03
69,jittered,ck4,0.38981787094158743,0.3137992008951476,-0.07601867004643972,-0.08264035308742652,-0.06928352613631619,0.8132611752405406,0.7970992398441827,0.8290247519535598,0.9231826310823428,0.9503510808682333,136,0.3818899782135076,51.93703703703704,180,0.03
69,jittered,ck4_p,0.27569629152406616,0.22199973894738897,-0.05369655257667715,-0.058371329844068884,-0.04892886039133193,0.8135095258137859,0.7973554815439583,0.829269817231632,0.9615767056111306,0.9751514819449644,147,0.4213403880070547,61.93703703703704,180,0.03
69,jittered,ck4_msp,0.27606144073114564,0.2226755026299962,-0.053385938101149506,-0.05802212418772454,-0.04857321428027101,0.8148926977709964,0.7988224759452194,0.8305769939525952,0.9614772510348131,0.9750022243260607,211,0.5304897314375987,111.93333333333334,180,0.03
