sample_id,length,local_mode,representation,noise_cosine,local_cosine,noise_l2,local_l2,local_minus_noise_l2,selective_sensitivity_ratio,selective_sensitivity_ratio_valid,n_features,density,avg_nnz_per_read,mutation_fraction
L100_jittered_00112,100,jittered,ck4,0.9247682184638604,0.9630301852061651,0.3878963303155624,0.2719184245093922,-0.11597790580617023,0.7010079839842269,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00113,100,jittered,ck4,0.9415838181383993,0.9591663046625438,0.34180749512437697,0.2857750700724473,-0.05603242505192968,0.8360702270980319,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00114,100,jittered,ck4,0.962265981218907,0.9659246825361313,0.27471446551316886,0.26105676571913855,-0.013657699794030309,0.9502840166479125,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00115,100,jittered,ck4,0.9385726067664661,0.9666735830169593,0.35050647136260915,0.25817210144801,-0.09233436991459915,0.7365687156769309,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00116,100,jittered,ck4,0.9424083769633508,0.9680917832765297,0.3393865732071592,0.25261914703153593,-0.08676742617562327,0.7443404276259891,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00117,100,jittered,ck4,0.9436393774724556,0.9701091434182973,0.33573984728519835,0.2445029921358951,-0.09123685514930324,0.7282513354102977,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00118,100,jittered,ck4,0.9357365184857916,0.9649782846884727,0.3585065732011301,0.26465719454240283,-0.09384937865872728,0.738221316778826,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00119,100,jittered,ck4,0.9188934763267228,0.9537260442854448,0.4027568091870761,0.30421688222238924,-0.09853992696468689,0.7553364096721797,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00120,100,jittered,ck4,0.9581525466603357,0.9655760513574804,0.2893007201500336,0.2623888284303273,-0.026911891719706316,0.906976063848892,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00121,100,jittered,ck4,0.9272727272727275,0.9641410000769635,0.381385035698237,0.2678021654992242,-0.11358287019901281,0.702183201836784,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00122,100,jittered,ck4,0.9465795049390486,0.9630301852061651,0.32686540061912833,0.27191842450939224,-0.05494697610973609,0.8318972396415806,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00123,100,jittered,ck4,0.918238993710692,0.9625187993788897,0.4043785510862518,0.27379262452122466,-0.13058592656502716,0.6770700962891233,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00124,100,jittered,ck4,0.9210034169899519,0.9623402854597698,0.3974835418229248,0.2744438541495506,-0.1230396876733742,0.6904533779962461,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00125,100,jittered,ck4,0.9505637992237291,0.9666815847074661,0.3144398218300944,0.2581411059577075,-0.056298715872386884,0.8209555152883672,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00126,100,jittered,ck4,0.9602508738160622,0.9666815847074661,0.2819543444742007,0.2581411059577075,-0.023813238516493196,0.915542218152726,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00127,100,jittered,ck4,0.9121829846922042,0.9597315436241614,0.41908713964471855,0.2837902619042413,-0.13529687774047727,0.6771628977802199,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00128,100,jittered,ck4,0.9290591430043925,0.9649122807017545,0.37667189169251164,0.26490647141300877,-0.11176542027950287,0.7032817612768932,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00129,100,jittered,ck4,0.9341987329938278,0.9641410000769635,0.3627706355431003,0.26780216549922425,-0.09496847004387604,0.7382134584799024,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00130,100,jittered,ck4,0.9293651589605725,0.9680768434732392,0.37585859319544007,0.2526782797422884,-0.12318031345315167,0.6722695298625246,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00131,100,jittered,ck4,0.9403895512828819,0.9634325446441843,0.34528379260288994,0.2704346699512302,-0.07484912265165972,0.7832243381960777,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00132,100,jittered,ck4,0.9078927557393177,0.9591066070275365,0.42920215344446355,0.28598389105844313,-0.14321826238602042,0.6663151355680416,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00133,100,jittered,ck4,0.946107784431138,0.9648561311652734,0.3283053930987497,0.26511834653500244,-0.06318704656374724,0.8075357642853541,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00134,100,jittered,ck4,0.9420139066072517,0.9620445852872095,0.34054689366590496,0.27551919974038264,-0.06502769392552232,0.8090492230731723,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00135,100,jittered,ck4,0.929017232224005,0.9675675675675679,0.3767831412788934,0.25468581598680534,-0.12209732529208805,0.6759480138159576,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00136,100,jittered,ck4,0.928410066553164,0.9678772703554006,0.3783911559400828,0.25346688006364665,-0.12492427587643617,0.6698541339686661,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00137,100,jittered,ck4,0.965367965367966,0.9737209495884189,0.26318067798390765,0.22925553607963992,-0.033925141904267736,0.8710956208329925,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00138,100,jittered,ck4,0.9343998089180234,0.9634325446441845,0.3622159330619704,0.27043466995123033,-0.09178126311074009,0.7466117452789204,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00139,100,jittered,ck4,0.9228880055646576,0.962807209934548,0.3927136219571271,0.27273719975629335,-0.11997642220083377,0.6944938614481478,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00140,100,jittered,ck4,0.9317050452262764,0.9636363636363638,0.3695807212875791,0.26967994498529685,-0.09990077630228222,0.7296915922609849,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00141,100,jittered,ck4,0.9628072099345477,0.9710263641244323,0.27273719975629335,0.2407223956160598,-0.032014804140233555,0.8826166574679191,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00142,100,jittered,ck4,0.9064198191698192,0.9581356724076366,0.4326203435581378,0.28935904199579876,-0.14326130156233902,0.6688521386117229,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00143,100,jittered,ck4,0.9533678756476682,0.9686394926699387,0.30539195913557254,0.2504416392298268,-0.054950319905745726,0.8200662517071982,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00144,100,jittered,ck4,0.9152187513219938,0.9640128615236399,0.41177967088725026,0.26828022094951465,-0.1434994499377356,0.651514001095437,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00145,100,jittered,ck4,0.9302482804242436,0.9653179190751447,0.37350159189957044,0.2633707687836883,-0.11013082311588213,0.7051396151867143,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00146,100,jittered,ck4,0.9314285714285712,0.9659246825361313,0.3703280399090205,0.2610567657191386,-0.10927127418988192,0.7049338359128116,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00147,100,jittered,ck4,0.9301609082497495,0.958926602970768,0.37373544587114144,0.2866126202009664,-0.08712282567017504,0.7668863720777137,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00148,100,jittered,ck4,0.9401153161055591,0.9683081848377084,0.3460771124892278,0.251761057998618,-0.09431605449060981,0.7274709852604149,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00149,100,jittered,ck4,0.9248210015029383,0.9553545957921047,0.3877602313210093,0.29881567632202644,-0.08894455499898285,0.7706197082254429,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00150,100,jittered,ck4,0.9424600469221021,0.9627795776707195,0.3392342938969984,0.27283849555838097,-0.06639579833861742,0.8042774579896184,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00151,100,jittered,ck4,0.9356055757585993,0.9670475645281869,0.3588716323183001,0.2567194401357755,-0.10215219218252458,0.715351721944071,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00152,100,jittered,ck4,0.9092634539469358,0.9665300277975901,0.425996586965352,0.2587275486004922,-0.1672690383648598,0.6073465293315496,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00153,100,jittered,ck4,0.916205306426231,0.9545746466110631,0.40937682780970686,0.3014145098993651,-0.10796231791034178,0.7362764314532073,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00154,100,jittered,ck4,0.9287195142798212,0.9647225731992856,0.3775724717724505,0.2656216361696262,-0.11195083560282432,0.7034984169336024,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00155,100,jittered,ck4,0.9334629899753886,0.9562841530054642,0.3647931195201226,0.2956885083818291,-0.06910461113829353,0.8105649272409547,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00156,100,jittered,ck4,0.9411764705882357,0.9545655796854944,0.34299717028501775,0.3014445896495931,-0.04155258063542466,0.8788544506040792,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00157,100,jittered,ck4,0.9361470612197695,0.9686394926699389,0.357359591392845,0.2504416392298269,-0.10691795216301814,0.7008112983723351,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00158,100,jittered,ck4,0.9298881652452553,0.9517948752272216,0.374464510347095,0.31049999926820754,-0.06396451107888745,0.829184049992887,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00159,100,jittered,ck4,0.9166855007995964,0.9615582176219541,0.40820215384145986,0.2772788573910589,-0.13092329645040096,0.6792684820049975,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00160,100,jittered,ck4,0.8951048951048953,0.9580419580419584,0.45802861241434456,0.2896827297511606,-0.16834588266318395,0.6324555320336759,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00161,100,jittered,ck4,0.9217073740951817,0.9689119170984455,0.39570854401900063,0.2493514904770148,-0.14635705354198583,0.6301392634702417,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00162,100,jittered,ck4,0.9222529318604633,0.9490445859872612,0.3943274480416921,0.31923475378704885,-0.07509269425464327,0.8095676711637285,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00163,100,jittered,ck4,0.9384325296637392,0.9638729111927716,0.35090588577640297,0.26880137204719945,-0.08210451372920352,0.7660212693567628,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00164,100,jittered,ck4,0.9338567516961651,0.9553048680734191,0.36371210676532517,0.2989820460381574,-0.06473006072716775,0.8220294031374299,True,136,0.5069035947712418,68.93888888888888,0.03
L100_jittered_00165,100,jittered,ck4,0.9617204485956822,0.9697093372553957,0.2766931564181437,0.24613273957198054,-0.030560416846163146,0.889551237038983,True,136,0.5069035947712418,68.93888888888888,0.03
