retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,quality_bin,mean_phred_min,mean_phred_mean,mean_phred_max,representation,representation_label,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.9933715679592787,0.9736621883629966,0.06121762703784867,0.22951168286721946,0.5105197602304541,1.0,150,mid,36.38,36.53089379600421,36.67333333333333,ckmer5_count_l2,canonical 5-mer,400,522,0.2172270114942529,113.3925
1.0,0.9869974837567418,0.9520547945205464,0.08594197090596226,0.3096617686426659,0.850796897234418,1.0,150,mid,36.38,36.53089379600421,36.67333333333333,ckmer7_count_l2,canonical 7-mer,400,8005,0.017329013116802,138.71875
1.0,0.996598755150782,0.9860425223314118,0.043851184971964476,0.167077609826922,0.2658340160085638,1.0,150,mid,36.38,36.53089379600421,36.67333333333333,cspaced_count_l2,canonical spaced count,400,144,0.5476388888888889,78.86
1.0,0.999637000440815,0.9985270390609615,0.014330680094671842,0.05427630600922203,0.028243542635167807,1.0,150,mid,36.38,36.53089379600421,36.67333333333333,cspaced_property_l2,CSP,400,155,0.5732983870967742,88.86125
1.0,0.9965042842000469,0.9862271499751476,0.04447088555283603,0.165968926202955,0.27410923074216453,1.0,150,mid,36.38,36.53089379600421,36.67333333333333,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,677,0.29875,202.25375
0.9975,0.9913517740284464,0.9469984095593468,0.0628889482232219,0.3255804549517195,0.2377537486226742,0.9975,150,mid,36.38,36.53089379600421,36.67333333333333,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.9999279076601059,0.9993633971980329,0.004618234090084825,0.03568200656914805,0.01905766130750156,1.0,150,mid,36.38,36.53089379600421,36.67333333333333,eiip_l2,EIIP positional signal,400,150,0.9999666666666667,149.995
0.8175,0.9999902734901147,0.9999419646573773,0.001412447778548155,0.010773085204984203,8.641678423823019e-06,0.8175,150,mid,36.38,36.53089379600421,36.67333333333333,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
1.0,0.9964908028599251,0.9761853895729661,0.03405634127186333,0.21823901251546388,0.49966824573488466,1.0,150,high,36.67333333333333,36.88655317360235,37.526666666666664,ckmer5_count_l2,canonical 5-mer,400,512,0.21981201171875,112.54375
1.0,0.9929855330046223,0.952702702702704,0.04812123458069733,0.30756234261462295,0.8443467927001186,1.0,150,high,36.67333333333333,36.88655317360235,37.526666666666664,ckmer7_count_l2,canonical 7-mer,400,7985,0.017378365685660615,138.76625
1.0,0.9983101899680387,0.9878754102273299,0.02350999235136917,0.15572147486581517,0.2639588191274104,1.0,150,high,36.67333333333333,36.88655317360235,37.526666666666664,cspaced_count_l2,canonical spaced count,400,136,0.5772058823529411,78.5
1.0,0.9998236932500566,0.9987288660849439,0.007604146497703407,0.05042087427893602,0.028033723651124217,1.0,150,high,36.67333333333333,36.88655317360235,37.526666666666664,cspaced_property_l2,CSP,400,147,0.6020408163265306,88.5
1.0,0.9981572480549908,0.9874611031702698,0.024679968612461054,0.15835920545551255,0.2683983986563549,1.0,150,high,36.67333333333333,36.88655317360235,37.526666666666664,hybrid_ckmer5_csp,canonical 5-mer + CSP,400,659,0.3050739757207891,201.04375
1.0,0.9952867861710485,0.9607821076128394,0.03624063884482231,0.2800601687604419,0.23617824055302603,1.0,150,high,36.67333333333333,36.88655317360235,37.526666666666664,minhash_k5_s128,"MinHash k=5, s=128",400,128,1.0,128.0
1.0,0.9999395947471273,0.9993596504265161,0.0036506643126820943,0.035786854821850476,0.019232263941490385,1.0,150,high,36.67333333333333,36.88655317360235,37.526666666666664,eiip_l2,EIIP positional signal,400,150,1.0,150.0
0.885,0.9999919617999466,0.9999542610415355,0.0010709570512652336,0.009564331701942342,3.341572824085426e-05,0.885,150,high,36.67333333333333,36.88655317360235,37.526666666666664,eiip_summary_l2,EIIP summary,400,8,1.0,8.0
