representation,representation_label,probe_scaling,n_features,length,condition,n_test_sources,accuracy,balanced_accuracy,mcc,macro_f1,auroc,auprc,macro_f1_ci_low,macro_f1_ci_high,baseline_macro_f1,delta_macro_f1,label_retention_ratio
ck5,CK5,train_zscore,512,100,substitution_1pct,2486,0.8515687851971038,0.8515687851971038,0.7033035097108883,0.8515512745678551,0.9282255773117875,0.8995974440566781,0.8378463607296249,0.8648050055117185,0.856796586221783,-0.005245311653927942,0.9938779965533497
pseknc_k3_l3,PseKNC,contract,67,69,N_3pct,2486,0.8744971842316975,0.8744971842316975,0.750398323657239,0.8743797798011796,0.9395009478663785,0.9183762133134641,0.8605689248803657,0.8876346498478268,0.8910560882120746,-0.016676308410894958,0.9812847825950481
pseknc_k3_l3,PseKNC,contract,67,69,clean,2486,0.8821399839098955,0.8821399839098953,0.7671275065932229,0.8819212394348479,0.9404044790812461,0.9181069158259213,0.8682360557225912,0.8940604682738178,0.8910560882120746,-0.0091348487772267,0.9897482898124225
pseknc_k3_l3,PseKNC,contract,67,69,substitution_1pct,2486,0.8785197103781175,0.8785197103781175,0.7594033194470261,0.8783306366714896,0.9389430367580577,0.9156375712253244,0.8653355225681638,0.8900116013948635,0.8910560882120746,-0.01272545154058502,0.985718686276956
pseknc_k3_l3,PseKNC,contract,67,75,N_3pct,2486,0.8765084473049075,0.8765084473049074,0.7545423685528375,0.8763836147169846,0.9412089843105299,0.920753968575102,0.8638584560597861,0.8888518161723675,0.8910560882120746,-0.014672473495090044,0.9835336140011897
pseknc_k3_l3,PseKNC,contract,67,75,clean,2486,0.8785197103781175,0.8785197103781175,0.7603576802471459,0.8782546369718847,0.9434522788597645,0.9236422586942818,0.8664827688373604,0.8903902937032948,0.8910560882120746,-0.012801451240189943,0.9856333945645595
pseknc_k3_l3,PseKNC,contract,67,75,substitution_1pct,2486,0.8765084473049075,0.8765084473049074,0.7557180088129369,0.8762877540596622,0.9436140860257507,0.9254659933641163,0.8629331817141842,0.8887843588012159,0.8910560882120746,-0.01476833415241241,0.9834260330547256
pseknc_k3_l3,PseKNC,contract,67,100,N_3pct,2486,0.8901850362027354,0.8901850362027353,0.7824697915442659,0.8900376949455719,0.9509724287061447,0.9369000287454784,0.8782714339388106,0.9021098135367004,0.8910560882120746,-0.0010183932665026596,0.9988570940932057
pseknc_k3_l3,PseKNC,contract,67,100,clean,2486,0.8913917940466614,0.8913917940466614,0.7876528739318318,0.8910560882120746,0.9524125124834228,0.9369741443545009,0.8788500007087873,0.9024209623961027,0.8910560882120746,0.0,1.0
pseknc_k3_l3,PseKNC,contract,67,100,substitution_1pct,2486,0.8917940466613034,0.8917940466613032,0.7877103937966029,0.8915109131682053,0.9516914997517879,0.9369147054642245,0.8785941627856748,0.9032566246472357,0.8910560882120746,0.00045482495613069496,1.000510433587905
