task,length,condition,representation,classifier,macro_f1_mean,macro_f1_sd,accuracy_mean,n_cells
within_genus_species,75,N_3pct,ckmer5_count_l2,nearest_centroid,0.3283292294746113,0.14960627616183603,0.34396029932304445,30
within_genus_species,75,clean,ck4,logistic,0.27577187174710394,0.14029836281481714,0.2885883470197196,30
within_genus_species,75,clean,ck4,nearest_centroid,0.31524210131305075,0.130179475324518,0.3259088852324146,30
within_genus_species,75,clean,ck4_p,logistic,0.29572840249801036,0.1355233353892128,0.3100420316792866,30
within_genus_species,75,clean,ck4_p,nearest_centroid,0.31329556831388616,0.13233757548944558,0.3233922660491288,30
within_genus_species,75,clean,ck4p_msp,logistic,0.2930766428560546,0.1434124417050007,0.3030315853355069,30
within_genus_species,75,clean,ck4p_msp,nearest_centroid,0.31634405491500434,0.1324879507389804,0.32740461172814117,30
within_genus_species,75,clean,ckmer5_count_l2,logistic,0.31312950248734567,0.14081696250683268,0.3296729156827196,30
within_genus_species,75,clean,ckmer5_count_l2,nearest_centroid,0.3268515338863636,0.14478077100399117,0.34344214645195037,30
within_genus_species,75,substitution_1pct,ck4,logistic,0.26942887649750397,0.11726972944434717,0.28999014529406686,30
within_genus_species,75,substitution_1pct,ck4,nearest_centroid,0.3054656964027449,0.12916718521306716,0.31521942908217415,30
within_genus_species,75,substitution_1pct,ck4_p,logistic,0.27255568188166224,0.12457412296677225,0.2871687919923214,30
within_genus_species,75,substitution_1pct,ck4_p,nearest_centroid,0.3038326997697483,0.12949124977419477,0.31383054019328527,30
within_genus_species,75,substitution_1pct,ck4p_msp,logistic,0.27883919040291594,0.1440760505156706,0.29568823478627404,30
within_genus_species,75,substitution_1pct,ck4p_msp,nearest_centroid,0.3044787184683985,0.1301563847318212,0.31388609574884085,30
within_genus_species,75,substitution_1pct,ckmer5_count_l2,logistic,0.3036793873672099,0.13885827233463435,0.3229840156212705,30
within_genus_species,75,substitution_1pct,ckmer5_count_l2,nearest_centroid,0.30726472909806246,0.1415624893810031,0.3244881799391603,30
within_genus_species,75,substitution_1pct_N_3pct,ck4,logistic,0.27004150778415487,0.11674402961052764,0.2857914083012122,30
within_genus_species,75,substitution_1pct_N_3pct,ck4,nearest_centroid,0.3202771745798062,0.1171262738433087,0.33241513932690403,30
within_genus_species,75,substitution_1pct_N_3pct,ck4_p,logistic,0.28242886733818107,0.11120749388277802,0.298591978101782,30
within_genus_species,75,substitution_1pct_N_3pct,ck4_p,nearest_centroid,0.3232048025074341,0.11693832094797829,0.3357092569739628,30
within_genus_species,75,substitution_1pct_N_3pct,ck4p_msp,logistic,0.28873800874716765,0.10784759080322709,0.3035538009557618,30
within_genus_species,75,substitution_1pct_N_3pct,ck4p_msp,nearest_centroid,0.3137222273340694,0.10760079468601813,0.3267302359949419,30
within_genus_species,75,substitution_1pct_N_3pct,ckmer5_count_l2,logistic,0.2936341379209026,0.11888247650503991,0.30901423993580857,30
within_genus_species,75,substitution_1pct_N_3pct,ckmer5_count_l2,nearest_centroid,0.308536698051404,0.13259414667619843,0.31815694146086304,30
within_genus_species,75,trim_5bp,ck4,logistic,0.2919388862771216,0.12135784743447178,0.30413026951262245,30
within_genus_species,75,trim_5bp,ck4,nearest_centroid,0.31212789806417257,0.11706763331544338,0.3228628542844229,30
within_genus_species,75,trim_5bp,ck4_p,logistic,0.28079052619493794,0.12526610780246578,0.2926533408494193,30
within_genus_species,75,trim_5bp,ck4_p,nearest_centroid,0.3121563880926626,0.11705247952671503,0.3228628542844229,30
within_genus_species,75,trim_5bp,ck4p_msp,logistic,0.2746660351268194,0.11318830224130055,0.2910576808812103,30
within_genus_species,75,trim_5bp,ck4p_msp,nearest_centroid,0.30925708369335825,0.11817148304913314,0.3195644631330906,30
within_genus_species,75,trim_5bp,ckmer5_count_l2,logistic,0.3232013874832502,0.16793914365905993,0.33878374494060765,30
within_genus_species,75,trim_5bp,ckmer5_count_l2,nearest_centroid,0.3464745709274863,0.156296498315507,0.36082547191370723,30
within_genus_species,100,N_3pct,ck4,logistic,0.32940736711402346,0.15221496117578925,0.3513314384633504,30
