representation,classifier,split,fold,task,length,condition,n_samples,n_groups,n_classes,n_features,accuracy,macro_f1,genus,label_col
ck4_p,logistic,5fold_grouped_cv,2,within_genus_species,69,clean,120,120,4,147,0.375,0.34112554112554105,Candida,label
ck4_p,nearest_centroid,5fold_grouped_cv,3,within_genus_species,69,clean,120,120,4,147,0.3333333333333333,0.3121212121212121,Candida,label
ck4_p,logistic,5fold_grouped_cv,3,within_genus_species,69,clean,120,120,4,147,0.3333333333333333,0.3409090909090909,Candida,label
ck4_p,nearest_centroid,5fold_grouped_cv,4,within_genus_species,69,clean,120,120,4,147,0.3333333333333333,0.3,Candida,label
ck4_p,logistic,5fold_grouped_cv,4,within_genus_species,69,clean,120,120,4,147,0.3333333333333333,0.28535353535353536,Candida,label
ck4_p,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,120,120,4,147,0.3333333333333333,0.3301282051282051,Candida,label
ck4_p,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,120,120,4,147,0.2916666666666667,0.28397435897435896,Candida,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,120,120,4,222,0.20833333333333334,0.17708333333333334,Candida,label
ck4p_msp,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,120,120,4,222,0.20833333333333334,0.22937062937062938,Candida,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,120,120,4,222,0.2916666666666667,0.28138528138528135,Candida,label
ck4p_msp,logistic,5fold_grouped_cv,2,within_genus_species,69,clean,120,120,4,222,0.25,0.23449883449883452,Candida,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,3,within_genus_species,69,clean,120,120,4,222,0.3333333333333333,0.30934343434343436,Candida,label
ck4p_msp,logistic,5fold_grouped_cv,3,within_genus_species,69,clean,120,120,4,222,0.4583333333333333,0.4616383616383616,Candida,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,4,within_genus_species,69,clean,120,120,4,222,0.3333333333333333,0.3,Candida,label
ck4p_msp,logistic,5fold_grouped_cv,4,within_genus_species,69,clean,120,120,4,222,0.20833333333333334,0.18681318681318682,Candida,label
ck4p_msp,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,120,120,4,222,0.3333333333333333,0.3301282051282051,Candida,label
ck4p_msp,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,120,120,4,222,0.4166666666666667,0.41233766233766234,Candida,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,1,within_genus_species,69,clean,120,120,4,504,0.16666666666666666,0.1536276223776224,Candida,label
ckmer5_count_l2,logistic,5fold_grouped_cv,1,within_genus_species,69,clean,120,120,4,504,0.3333333333333333,0.3371794871794872,Candida,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,2,within_genus_species,69,clean,120,120,4,504,0.3333333333333333,0.30833333333333335,Candida,label
ckmer5_count_l2,logistic,5fold_grouped_cv,2,within_genus_species,69,clean,120,120,4,504,0.25,0.2435897435897436,Candida,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,3,within_genus_species,69,clean,120,120,4,504,0.3333333333333333,0.3112665112665113,Candida,label
ckmer5_count_l2,logistic,5fold_grouped_cv,3,within_genus_species,69,clean,120,120,4,504,0.3333333333333333,0.3229548229548229,Candida,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,4,within_genus_species,69,clean,120,120,4,504,0.375,0.35929487179487174,Candida,label
ckmer5_count_l2,logistic,5fold_grouped_cv,4,within_genus_species,69,clean,120,120,4,504,0.25,0.21688311688311687,Candida,label
ckmer5_count_l2,nearest_centroid,5fold_grouped_cv,5,within_genus_species,69,clean,120,120,4,504,0.2916666666666667,0.269017094017094,Candida,label
ckmer5_count_l2,logistic,5fold_grouped_cv,5,within_genus_species,69,clean,120,120,4,504,0.2916666666666667,0.2540106951871658,Candida,label
ck4,nearest_centroid,5fold_grouped_cv,1,target_background,69,clean,109,109,2,136,0.6363636363636364,0.5416666666666666,Candida,target_binary
ck4,logistic,5fold_grouped_cv,1,target_background,69,clean,109,109,2,136,0.5909090909090909,0.4545454545454546,Candida,target_binary
ck4,nearest_centroid,5fold_grouped_cv,2,target_background,69,clean,109,109,2,136,0.6666666666666666,0.6370370370370371,Candida,target_binary
ck4,logistic,5fold_grouped_cv,2,target_background,69,clean,109,109,2,136,0.6666666666666666,0.6100795755968169,Candida,target_binary
