split,classifier,accuracy,macro_f1,n_features,task,group_col,group,label_col,length,condition,representation,n_samples,n_classes
holdout,nearest_centroid,0.5277777777777778,0.4962962962962963,136,all_labels,genus,Burkholderia,target_binary,150,clean,cspaced_count_l2,240,2
holdout,nearest_centroid,0.5416666666666666,0.4990512333965844,147,all_labels,genus,Burkholderia,target_binary,150,clean,cspaced_property_l2,240,2
holdout,nearest_centroid,0.5555555555555556,0.5097872340425531,2304,all_labels,genus,Burkholderia,target_binary,150,clean,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.5833333333333334,0.520851818988465,2400,all_labels,genus,Burkholderia,target_binary,150,clean,rope_property,240,2
holdout,nearest_centroid,0.7333333333333333,0.5833333333333334,512,all_labels,genus,Enterobacter,target_binary,150,clean,ckmer5_count_l2,400,2
holdout,nearest_centroid,0.6,0.4984326018808777,136,all_labels,genus,Enterobacter,target_binary,150,clean,cspaced_count_l2,400,2
holdout,nearest_centroid,0.6083333333333333,0.5041758241758242,147,all_labels,genus,Enterobacter,target_binary,150,clean,cspaced_property_l2,400,2
holdout,nearest_centroid,0.6333333333333333,0.5215657847046031,2304,all_labels,genus,Enterobacter,target_binary,150,clean,spaced_kmer_phase,400,2
holdout,nearest_centroid,0.6666666666666666,0.4434137291280148,2400,all_labels,genus,Enterobacter,target_binary,150,clean,rope_property,400,2
holdout,nearest_centroid,0.4583333333333333,0.4428571428571428,510,all_labels,genus,Escherichia,target_binary,150,clean,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.4583333333333333,0.4545454545454546,136,all_labels,genus,Escherichia,target_binary,150,clean,cspaced_count_l2,160,2
holdout,nearest_centroid,0.4583333333333333,0.4545454545454546,147,all_labels,genus,Escherichia,target_binary,150,clean,cspaced_property_l2,160,2
holdout,nearest_centroid,0.4375,0.4372557533651758,2304,all_labels,genus,Escherichia,target_binary,150,clean,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.4375,0.4372557533651758,2400,all_labels,genus,Escherichia,target_binary,150,clean,rope_property,160,2
holdout,nearest_centroid,0.4722222222222222,0.3781818181818182,512,all_labels,genus,Klebsiella,target_binary,150,clean,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.5138888888888888,0.4775036284470246,136,all_labels,genus,Klebsiella,target_binary,150,clean,cspaced_count_l2,240,2
holdout,nearest_centroid,0.5138888888888888,0.4586466165413533,147,all_labels,genus,Klebsiella,target_binary,150,clean,cspaced_property_l2,240,2
holdout,nearest_centroid,0.6805555555555556,0.6186967533962698,2304,all_labels,genus,Klebsiella,target_binary,150,clean,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.5,0.4485106382978723,2400,all_labels,genus,Klebsiella,target_binary,150,clean,rope_property,240,2
holdout,nearest_centroid,0.6875,0.629439011837365,510,all_labels,genus,Candida,target_binary,150,N_3pct,ckmer5_count_l2,320,2
holdout,nearest_centroid,0.625,0.6,136,all_labels,genus,Candida,target_binary,150,N_3pct,cspaced_count_l2,320,2
holdout,nearest_centroid,0.6458333333333334,0.6177985948477751,147,all_labels,genus,Candida,target_binary,150,N_3pct,cspaced_property_l2,320,2
holdout,nearest_centroid,0.6041666666666666,0.4861971830985915,2304,all_labels,genus,Candida,target_binary,150,N_3pct,spaced_kmer_phase,320,2
holdout,nearest_centroid,0.6770833333333334,0.4810810810810811,2400,all_labels,genus,Candida,target_binary,150,N_3pct,rope_property,320,2
holdout,nearest_centroid,0.5833333333333334,0.5555555555555556,508,all_labels,genus,Burkholderia,target_binary,150,N_3pct,ckmer5_count_l2,240,2
holdout,nearest_centroid,0.6527777777777778,0.6133190118152524,136,all_labels,genus,Burkholderia,target_binary,150,N_3pct,cspaced_count_l2,240,2
holdout,nearest_centroid,0.6527777777777778,0.6133190118152524,147,all_labels,genus,Burkholderia,target_binary,150,N_3pct,cspaced_property_l2,240,2
holdout,nearest_centroid,0.5,0.4581939799331104,2304,all_labels,genus,Burkholderia,target_binary,150,N_3pct,spaced_kmer_phase,240,2
holdout,nearest_centroid,0.6111111111111112,0.5625,2400,all_labels,genus,Burkholderia,target_binary,150,N_3pct,rope_property,240,2
holdout,nearest_centroid,0.7166666666666667,0.5572916666666666,512,all_labels,genus,Enterobacter,target_binary,150,N_3pct,ckmer5_count_l2,400,2
holdout,nearest_centroid,0.6166666666666667,0.4998187749184487,136,all_labels,genus,Enterobacter,target_binary,150,N_3pct,cspaced_count_l2,400,2
holdout,nearest_centroid,0.5833333333333334,0.477533960292581,147,all_labels,genus,Enterobacter,target_binary,150,N_3pct,cspaced_property_l2,400,2
holdout,nearest_centroid,0.6416666666666667,0.5372612321764865,2304,all_labels,genus,Enterobacter,target_binary,150,N_3pct,spaced_kmer_phase,400,2
holdout,nearest_centroid,0.6416666666666667,0.4311542277587917,2400,all_labels,genus,Enterobacter,target_binary,150,N_3pct,rope_property,400,2
holdout,nearest_centroid,0.4791666666666667,0.4734532689776217,510,all_labels,genus,Escherichia,target_binary,150,N_3pct,ckmer5_count_l2,160,2
holdout,nearest_centroid,0.375,0.3739130434782609,136,all_labels,genus,Escherichia,target_binary,150,N_3pct,cspaced_count_l2,160,2
holdout,nearest_centroid,0.375,0.3739130434782609,147,all_labels,genus,Escherichia,target_binary,150,N_3pct,cspaced_property_l2,160,2
holdout,nearest_centroid,0.4791666666666667,0.4734532689776217,2304,all_labels,genus,Escherichia,target_binary,150,N_3pct,spaced_kmer_phase,160,2
holdout,nearest_centroid,0.4583333333333333,0.4583333333333333,2400,all_labels,genus,Escherichia,target_binary,150,N_3pct,rope_property,160,2
