representation,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ck4_p,nearest_centroid,59,2,147,0.5555555555555556,0.55,within_genus_species,Escherichia,150,clean,label
ck4_p,logistic,59,2,147,0.5555555555555556,0.5324675324675324,within_genus_species,Escherichia,150,clean,label
ck4p_msp,nearest_centroid,59,2,222,0.5555555555555556,0.55,within_genus_species,Escherichia,150,clean,label
ck4p_msp,logistic,59,2,222,0.5555555555555556,0.5324675324675324,within_genus_species,Escherichia,150,clean,label
ckmer5_count_l2,nearest_centroid,59,2,508,0.6111111111111112,0.6,within_genus_species,Escherichia,150,clean,label
ckmer5_count_l2,logistic,59,2,508,0.5,0.4581939799331104,within_genus_species,Escherichia,150,clean,label
cspaced_count_l2,nearest_centroid,59,2,136,0.4444444444444444,0.41558441558441556,within_genus_species,Escherichia,150,clean,label
cspaced_count_l2,logistic,59,2,136,0.4444444444444444,0.41558441558441556,within_genus_species,Escherichia,150,clean,label
cspaced_property_l2,nearest_centroid,59,2,147,0.4444444444444444,0.41558441558441556,within_genus_species,Escherichia,150,clean,label
cspaced_property_l2,logistic,59,2,147,0.4444444444444444,0.41558441558441556,within_genus_species,Escherichia,150,clean,label
hybrid_ckmer5_csp,nearest_centroid,59,2,655,0.6111111111111112,0.6,within_genus_species,Escherichia,150,clean,label
hybrid_ckmer5_csp,logistic,59,2,655,0.3888888888888889,0.3377926421404682,within_genus_species,Escherichia,150,clean,label
minhash_k5_s128,nearest_centroid,59,2,128,0.3333333333333333,0.325,within_genus_species,Escherichia,150,clean,label
minhash_k5_s128,logistic,59,2,128,0.16666666666666666,0.16408668730650156,within_genus_species,Escherichia,150,clean,label
eiip_l2,nearest_centroid,59,2,150,0.5,0.4984520123839009,within_genus_species,Escherichia,150,clean,label
eiip_l2,logistic,59,2,150,0.4444444444444444,0.41558441558441556,within_genus_species,Escherichia,150,clean,label
eiip_summary_l2,nearest_centroid,59,2,8,0.6111111111111112,0.6,within_genus_species,Escherichia,150,clean,label
eiip_summary_l2,logistic,59,2,8,0.4444444444444444,0.4375,within_genus_species,Escherichia,150,clean,label
ck4,nearest_centroid,59,2,136,0.5555555555555556,0.55,target_background,Escherichia,150,clean,target_binary
ck4,logistic,59,2,136,0.5555555555555556,0.5324675324675324,target_background,Escherichia,150,clean,target_binary
ck4_p,nearest_centroid,59,2,147,0.5555555555555556,0.55,target_background,Escherichia,150,clean,target_binary
ck4_p,logistic,59,2,147,0.5555555555555556,0.5324675324675324,target_background,Escherichia,150,clean,target_binary
ck4p_msp,nearest_centroid,59,2,222,0.5555555555555556,0.55,target_background,Escherichia,150,clean,target_binary
ck4p_msp,logistic,59,2,222,0.5555555555555556,0.5324675324675324,target_background,Escherichia,150,clean,target_binary
ckmer5_count_l2,nearest_centroid,59,2,508,0.6111111111111112,0.6,target_background,Escherichia,150,clean,target_binary
