representation,representation_label,classifier,n_samples,n_classes,n_features,accuracy,macro_f1,task,genus,length,condition,label_col
ck5_svd147,CK5 SVD-147,nearest_centroid,147,5,101,0.24444444444444444,0.22178780284043445,within_genus_species,Enterobacter,69,clean,label
ck5_svd147,CK5 SVD-147,logistic,147,5,101,0.3333333333333333,0.3209774436090226,within_genus_species,Enterobacter,69,clean,label
ck5_svd222,CK5 SVD-222,nearest_centroid,147,5,101,0.24444444444444444,0.22178780284043445,within_genus_species,Enterobacter,69,clean,label
ck5_svd222,CK5 SVD-222,logistic,147,5,101,0.3333333333333333,0.3209774436090226,within_genus_species,Enterobacter,69,clean,label
ck7_pca147,CK7 PCA-147,nearest_centroid,147,5,101,0.24444444444444444,0.22915804002760526,within_genus_species,Enterobacter,69,clean,label
ck7_pca147,CK7 PCA-147,logistic,147,5,101,0.24444444444444444,0.22846702317290551,within_genus_species,Enterobacter,69,clean,label
ck7_pca222,CK7 PCA-222,nearest_centroid,147,5,101,0.24444444444444444,0.22915804002760526,within_genus_species,Enterobacter,69,clean,label
ck7_pca222,CK7 PCA-222,logistic,147,5,101,0.24444444444444444,0.22846702317290551,within_genus_species,Enterobacter,69,clean,label
ck7_svd147,CK7 SVD-147,nearest_centroid,147,5,101,0.26666666666666666,0.24894158981115502,within_genus_species,Enterobacter,69,clean,label
ck7_svd147,CK7 SVD-147,logistic,147,5,101,0.3111111111111111,0.27172932330827065,within_genus_species,Enterobacter,69,clean,label
ck7_svd222,CK7 SVD-222,nearest_centroid,147,5,101,0.26666666666666666,0.24894158981115502,within_genus_species,Enterobacter,69,clean,label
ck7_svd222,CK7 SVD-222,logistic,147,5,101,0.3111111111111111,0.27172932330827065,within_genus_species,Enterobacter,69,clean,label
ck4,CK4,nearest_centroid,70,2,136,0.6190476190476191,0.6181818181818182,target_background,Enterobacter,69,clean,target_binary
ck4,CK4,logistic,70,2,136,0.5238095238095238,0.5138888888888888,target_background,Enterobacter,69,clean,target_binary
ck4_p,CK4+P,nearest_centroid,70,2,147,0.6190476190476191,0.6181818181818182,target_background,Enterobacter,69,clean,target_binary
ck4_p,CK4+P,logistic,70,2,147,0.5238095238095238,0.5138888888888888,target_background,Enterobacter,69,clean,target_binary
ck4p_msp,CK4P-MSP,nearest_centroid,70,2,222,0.6190476190476191,0.6181818181818182,target_background,Enterobacter,69,clean,target_binary
ck4p_msp,CK4P-MSP,logistic,70,2,222,0.47619047619047616,0.47139588100686497,target_background,Enterobacter,69,clean,target_binary
ckmer5_count_l2,CK5,nearest_centroid,70,2,497,0.5238095238095238,0.5227272727272727,target_background,Enterobacter,69,clean,target_binary
ckmer5_count_l2,CK5,logistic,70,2,497,0.47619047619047616,0.47139588100686497,target_background,Enterobacter,69,clean,target_binary
ck5_pca147,CK5 PCA-147,nearest_centroid,70,2,48,0.47619047619047616,0.47139588100686497,target_background,Enterobacter,69,clean,target_binary
ck5_pca147,CK5 PCA-147,logistic,70,2,48,0.47619047619047616,0.4564705882352942,target_background,Enterobacter,69,clean,target_binary
ck5_pca222,CK5 PCA-222,nearest_centroid,70,2,48,0.47619047619047616,0.47139588100686497,target_background,Enterobacter,69,clean,target_binary
ck5_pca222,CK5 PCA-222,logistic,70,2,48,0.47619047619047616,0.4564705882352942,target_background,Enterobacter,69,clean,target_binary
ck5_svd147,CK5 SVD-147,nearest_centroid,70,2,48,0.5238095238095238,0.5227272727272727,target_background,Enterobacter,69,clean,target_binary
ck5_svd147,CK5 SVD-147,logistic,70,2,48,0.47619047619047616,0.4564705882352942,target_background,Enterobacter,69,clean,target_binary
ck5_svd222,CK5 SVD-222,nearest_centroid,70,2,48,0.5238095238095238,0.5227272727272727,target_background,Enterobacter,69,clean,target_binary
ck5_svd222,CK5 SVD-222,logistic,70,2,48,0.47619047619047616,0.4564705882352942,target_background,Enterobacter,69,clean,target_binary
ck7_pca147,CK7 PCA-147,nearest_centroid,70,2,48,0.38095238095238093,0.35764705882352943,target_background,Enterobacter,69,clean,target_binary
ck7_pca147,CK7 PCA-147,logistic,70,2,48,0.42857142857142855,0.3942307692307692,target_background,Enterobacter,69,clean,target_binary
ck7_pca222,CK7 PCA-222,nearest_centroid,70,2,48,0.38095238095238093,0.35764705882352943,target_background,Enterobacter,69,clean,target_binary
ck7_pca222,CK7 PCA-222,logistic,70,2,48,0.42857142857142855,0.3942307692307692,target_background,Enterobacter,69,clean,target_binary
ck7_svd147,CK7 SVD-147,nearest_centroid,70,2,48,0.42857142857142855,0.41666666666666663,target_background,Enterobacter,69,clean,target_binary
ck7_svd147,CK7 SVD-147,logistic,70,2,48,0.38095238095238093,0.38095238095238093,target_background,Enterobacter,69,clean,target_binary
ck7_svd222,CK7 SVD-222,nearest_centroid,70,2,48,0.42857142857142855,0.41666666666666663,target_background,Enterobacter,69,clean,target_binary
ck7_svd222,CK7 SVD-222,logistic,70,2,48,0.38095238095238093,0.38095238095238093,target_background,Enterobacter,69,clean,target_binary
ck4,CK4,nearest_centroid,59,2,136,0.6666666666666666,0.6493506493506493,within_genus_species,Escherichia,69,clean,label
ck4,CK4,logistic,59,2,136,0.6666666666666666,0.6625,within_genus_species,Escherichia,69,clean,label
ck4_p,CK4+P,nearest_centroid,59,2,147,0.6666666666666666,0.6493506493506493,within_genus_species,Escherichia,69,clean,label
