retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate,length,quality_bin,mean_phred_min,mean_phred_mean,mean_phred_max,observed_base_difference_rate_mean,representation,representation_label,n_pairs,n_features,density,avg_nnz_per_read
1.0,0.9718142121523528,0.9292975585086506,0.2092632374946634,0.37603812321942154,0.1554100724325821,1.0,69,high,24.594202898550726,25.250404432291592,27.608695652173914,0.026159420289855073,ck4_p,CK4+P,400,147,0.3877891156462585,57.005
1.0,0.9717298884697737,0.9292141047173216,0.20956551952537317,0.37625994499861803,0.15785590965596186,1.0,69,high,24.594202898550726,25.250404432291592,27.608695652173914,0.026159420289855073,ck4_msp,CK4+MSP,400,211,0.5067239336492891,106.91875
1.0,0.9811296713189467,0.9527826905895731,0.17128277919105403,0.3073018897150134,0.10605730254195125,1.0,69,high,24.594202898550726,25.250404432291592,27.608695652173914,0.026159420289855073,ck4p_msp,CK4P-MSP,400,222,0.5266610360360361,116.91875
1.0,0.9023263848541915,0.7566630649958932,0.3900775852865425,0.6976194101953023,0.522741639042129,1.0,69,high,24.594202898550726,25.250404432291592,27.608695652173914,0.026159420289855073,ckmer5_count_l2,canonical 5-mer,400,512,0.111162109375,56.915
0.9975,0.9018767541180347,0.805154920693589,0.4145115472122745,0.6236264699767369,0.25779940664923096,0.9975,75,low,19.586666666666666,22.458519579751673,23.08,0.045799999999999993,ck4,CK4,400,136,0.36973345588235296,50.28375
1.0,0.9515354957378486,0.9025003206469077,0.29497201717619964,0.44158640190999304,0.13054384722425802,1.0,75,low,19.586666666666666,22.458519579751673,23.08,0.045799999999999993,ck4_p,CK4+P,400,147,0.41003401360544217,60.275
1.0,0.9518815527709809,0.9023165869635659,0.29448496323707407,0.4420031953593772,0.13339549518882707,1.0,75,low,19.586666666666666,22.458519579751673,23.08,0.045799999999999993,ck4_msp,CK4+MSP,400,211,0.5222571090047393,110.19625
1.0,0.9676105758162816,0.9346911049175413,0.2412444147045228,0.36141015125407466,0.08941204798255488,1.0,75,low,19.586666666666666,22.458519579751673,23.08,0.045799999999999993,ck4p_msp,CK4P-MSP,400,222,0.5413851351351351,120.1875
0.9975,0.8330366351857572,0.6722069742248299,0.5466065305909155,0.8035450197669978,0.44311998175288553,0.9975,75,low,19.586666666666666,22.458519579751673,23.08,0.045799999999999993,ckmer5_count_l2,canonical 5-mer,400,512,0.12032958984375,61.60875
1.0,0.9235685411947417,0.8445425249795095,0.3673914545955388,0.5575972710550603,0.2781306019918497,1.0,75,mid,23.08,23.517473734479466,23.933333333333334,0.036366666666666665,ck4,CK4,400,136,0.37245404411764704,50.65375
1.0,0.9617582081450987,0.9222623114712767,0.2598739937802126,0.3943035132354893,0.13953520477727974,1.0,75,mid,23.08,23.517473734479466,23.933333333333334,0.036366666666666665,ck4_p,CK4+P,400,147,0.41261054421768706,60.65375
1.0,0.9616360001170844,0.9220599005497562,0.2602995295052875,0.39481653209281237,0.14178312586380368,1.0,75,mid,23.08,23.517473734479466,23.933333333333334,0.036366666666666665,ck4_msp,CK4+MSP,400,211,0.5242890995260664,110.625
1.0,0.9744066251098751,0.9480339663541858,0.2126061512878244,0.3223848592495175,0.09482928379357247,1.0,75,mid,23.08,23.517473734479466,23.933333333333334,0.036366666666666665,ck4p_msp,CK4P-MSP,400,222,0.5433558558558559,120.625
1.0,0.8684611872798821,0.7419356272412662,0.4834404973214944,0.718420907436918,0.4842436239174139,1.0,75,mid,23.08,23.517473734479466,23.933333333333334,0.036366666666666665,ckmer5_count_l2,canonical 5-mer,400,512,0.12122314453125,62.06625
0.9975,0.9380386424811872,0.8557737396301032,0.31632833796314996,0.5321341312288911,0.2933555388929135,0.9975,75,high,23.933333333333334,24.57610216016231,27.0,0.0296,ck4,CK4,400,136,0.36714154411764705,49.93125
1.0,0.9700393630127533,0.9278731254473224,0.22478984840962446,0.3798059702505227,0.14910483279041603,1.0,75,high,23.933333333333334,24.57610216016231,27.0,0.0296,ck4_p,CK4+P,400,147,0.4076360544217687,59.9225
1.0,0.9701318148618813,0.9290457935221326,0.22445886193575945,0.37670652831182655,0.15168222115610874,1.0,75,high,23.933333333333334,24.57610216016231,27.0,0.0296,ck4_msp,CK4+MSP,400,211,0.5205094786729858,109.8275
1.0,0.9799721941220764,0.9526888494806666,0.1838551479543017,0.3076067305793361,0.10197818466567692,1.0,75,high,23.933333333333334,24.57610216016231,27.0,0.0296,ck4p_msp,CK4P-MSP,400,222,0.5397240990990991,119.81875
0.9975,0.8928653932265718,0.7477045657602217,0.4208148777104283,0.692439547355119,0.5044057168366682,0.9975,75,high,23.933333333333334,24.57610216016231,27.0,0.0296,ckmer5_count_l2,canonical 5-mer,400,512,0.12031982421875,61.60375
0.9975,0.8530026478040983,0.7739644757527421,0.5340907872138111,0.6723616784173757,0.16980725470408436,0.9975,100,low,26.91,30.32471689059501,31.06,0.086525,ck4,CK4,400,136,0.4561397058823529,62.035
0.9975,0.9264529877350393,0.8868904770143831,0.37778876436206466,0.47562451028409225,0.08528712228905178,0.9975,100,low,26.91,30.32471689059501,31.06,0.086525,ck4_p,CK4+P,400,147,0.4900510204081633,72.0375
0.9975,0.926229422096503,0.8867315630184475,0.3783864005957945,0.47595841862453125,0.08682596758020988,0.9975,100,low,26.91,30.32471689059501,31.06,0.086525,ck4_msp,CK4+MSP,400,211,0.5783530805687204,122.0325
0.9975,0.9507873906196622,0.9244265347709728,0.3090566546500383,0.3887758394051029,0.058135979989431597,0.9975,100,low,26.91,30.32471689059501,31.06,0.086525,ck4p_msp,CK4P-MSP,400,222,0.5947522522522523,132.035
1.0,0.7316464885936296,0.6094869105249976,0.7242896993046136,0.8837568533440057,0.32099926970255815,1.0,100,low,26.91,30.32471689059501,31.06,0.086525,ckmer5_count_l2,canonical 5-mer,400,512,0.1582861328125,81.0425
0.9975,0.8864640908347756,0.8125137118854959,0.4623706890260961,0.6110702125013305,0.20959806916435078,0.9975,100,mid,31.06,31.543944337811894,32.03,0.06394999999999999,ck4,CK4,400,136,0.4524816176470588,61.5375
1.0,0.9440698995114468,0.90621446380576,0.32842619511810467,0.43309428952852075,0.10624139409606219,1.0,100,mid,31.06,31.543944337811894,32.03,0.06394999999999999,ck4_p,CK4+P,400,147,0.48660714285714285,71.53125
1.0,0.9442216185700032,0.9062317937811251,0.3280939614145801,0.4330547208679631,0.10888290832450785,1.0,100,mid,31.06,31.543944337811894,32.03,0.06394999999999999,ck4_msp,CK4+MSP,400,211,0.5756990521327014,121.4725
1.0,0.962611542838289,0.9372375523386174,0.2685880677010116,0.35429461630893583,0.0729484093518528,1.0,100,mid,31.06,31.543944337811894,32.03,0.06394999999999999,ck4p_msp,CK4P-MSP,400,222,0.5921903153153153,131.46625
0.9975,0.7922437401273066,0.6782693307454791,0.6312177081283933,0.8017594597440697,0.38945221792286233,0.9975,100,mid,31.06,31.543944337811894,32.03,0.06394999999999999,ckmer5_count_l2,canonical 5-mer,400,512,0.15739501953125,80.58625
