length,condition,representation,representation_label,n_features,n_pairs,retrieval_top1,paired_cosine_mean,paired_cosine_p05,l2_delta_mean,l2_delta_p95,mean_pair_margin,margin_positive_rate
75,short_indel,candidate_cpkm_replace,CPKM replace (222D),222,500,1.0,0.9825566820356187,0.9227668487671448,0.1259009537661291,0.3930219276224905,0.3628664607150663,1.0
75,substitution_1pct,candidate_pkm_augment,PKM augmentation screen (297D),297,500,1.0,0.9844621633211338,0.9460304371272313,0.12159966151502169,0.3285408939740495,0.23286876993529376,1.0
75,N_3pct,candidate_pkm_augment,PKM augmentation screen (297D),297,500,1.0,0.976881064459897,0.9555343482061509,0.20991922775346314,0.29821331844857046,0.2282948528864242,1.0
75,trim_5bp,candidate_pkm_augment,PKM augmentation screen (297D),297,500,1.0,0.9572936087238372,0.9284076366815738,0.28762523903413295,0.37839726200306706,0.2056103629098362,1.0
75,substitution_1pct_N_3pct,candidate_pkm_augment,PKM augmentation screen (297D),297,500,1.0,0.9615419494180435,0.9142390448538529,0.2649240425704393,0.41415153031788965,0.21227645426169722,1.0
75,local_mismatch_6bp,candidate_pkm_augment,PKM augmentation screen (297D),297,500,1.0,0.9522227145000264,0.8982214262978618,0.3009764383429346,0.4511730717553504,0.2013184701718821,1.0
75,short_indel,candidate_pkm_augment,PKM augmentation screen (297D),297,500,1.0,0.98793345132585,0.9509036472837571,0.10536369304420108,0.31335596236117086,0.2357133711364124,1.0
75,substitution_1pct,candidate_cpkm_augment,CPKM augmentation screen (297D),297,500,1.0,0.982520620753846,0.9326226649585655,0.12825575996474275,0.367089428617061,0.26919836666762564,1.0
75,N_3pct,candidate_cpkm_augment,CPKM augmentation screen (297D),297,500,1.0,0.9723117397095867,0.9466075376344045,0.2294659505137675,0.32677962683710315,0.2616821779503589,1.0
75,trim_5bp,candidate_cpkm_augment,CPKM augmentation screen (297D),297,500,1.0,0.9570509048153788,0.9259283140249819,0.28832973904991027,0.38489288968892793,0.24440489340806698,1.0
75,substitution_1pct_N_3pct,candidate_cpkm_augment,CPKM augmentation screen (297D),297,500,1.0,0.9565062663886474,0.9024947624673103,0.28261573068726376,0.4415991070426044,0.2473036760904382,1.0
